"","pol","tur","hrv","nor","gre","rus","spa","authorcount"
"Henri,Dianed'",0,0,0,0,0,0,0,0
"Herm,Gerhard",0,0,0,0,0,0,0,0
"Herrmann,Gunnar",0,0,0,0,0,0,0,0
"Hildesheimer,Wolfgang",0,0,0,0,0,0,3,3
"Hill,Roxann",0,0,0,0,0,0,0,0
"Hirschl,Elias",0,0,0,0,0,0,0,0
"Hoddis,Jakobvan",0,0,0,0,0,0,0,0
"Hofé,Günter",0,0,0,0,0,0,0,0
"Hoffmann,Horst",0,0,0,0,0,0,0,0
"Hohlbein,Rebecca",0,0,0,0,0,0,0,0
"Holbe,Rainer",0,0,0,0,0,0,0,0
"Höner,Peter",0,0,0,0,0,0,0,0
"Huber,Nicole",0,0,0,0,0,0,0,0
"Hülsmann,Petra",0,0,0,0,0,0,1,1
"Husemann,Dirk",0,0,0,0,0,2,2,4
"Imhof,Agnes",0,0,1,0,0,0,3,4
"Jaeger,Henry",0,0,0,0,0,0,0,0
"Jäger,Gerhard",0,0,0,0,0,0,0,0
"Jandl,Ernst",0,0,0,0,1,0,0,1
"Jardas,Margaret",0,0,0,0,0,0,0,0
"Jones,Victoria",0,0,0,0,0,0,0,0
"Jordan,Ricarda",0,0,0,0,0,2,5,7
"Kaes,Wolfgang",0,0,0,0,0,0,0,0
"Kaiser,MariaRegina",0,0,0,0,0,0,1,1
"Kaiser,Vea",0,0,0,0,0,0,2,2
"Kammerer,Iris",0,0,0,0,0,0,0,0
"Kanaan,Verena",0,0,0,0,0,0,0,0
"Kapper,Siegfried",0,0,0,0,0,0,0,0
"Karg,Cassian",0,0,0,0,0,0,0,0
"Kaufhold,Julia",0,0,0,0,0,0,0,0
"Kaufmann,Kat",0,0,0,0,0,0,0,0
"Kellermann,Bernhard",0,0,0,0,0,1,0,1
"Kempff,Martina",0,0,0,0,0,0,1,1
"Kennel,Herma",0,0,0,0,0,0,0,0
"Kern,Claudia",0,0,0,0,0,0,0,0
"Kern,Silke",0,0,0,0,0,0,0,0
"Kernbach,Michael",0,0,0,0,0,0,0,0
"Kisch,EgonErwin",0,0,0,0,0,0,1,1
"Kitter,Eva",0,0,0,0,0,0,0,0
"Klassen,Lena",0,0,0,0,0,0,0,0
"Klein,Benjamin",0,0,0,0,0,0,0,0
"Klíma,Ladislav",0,0,0,0,0,0,0,0
"Klüssendorf,Angelika",0,0,0,2,0,0,0,2
"Knauss,Sibylle",0,1,0,0,1,0,1,3
"Kneifel,Hanns",0,0,0,0,0,0,0,0
"Kohlhaase,Wolfgang",0,0,0,0,0,0,0,0
"Kohlmann,Bara",0,0,0,0,0,0,0,0
"Kokoschka,Oskar",0,0,0,0,0,0,0,0
"Kollender,Andreas",0,1,0,0,0,0,0,1
"Konecny,Jaromir",0,0,0,0,0,0,0,0
"König,Barbara",0,0,0,0,0,0,0,0
"König,Rainer",0,0,0,0,0,0,0,0
"Korber,Tessa",0,0,0,0,0,0,7,7
"Kornfeld,Paul",0,0,0,0,0,0,1,1
"Köster-Lösche,Kari",0,0,0,0,0,2,1,3
"Kraft,Robert",0,0,0,0,0,0,0,0
"Kraiker,Ansgar",0,0,0,0,0,0,0,0
"Kraus,Karl",0,0,0,0,0,0,3,3
"Kraus,Susanne",0,0,0,0,0,0,0,0
"Kreissl,Rainer",0,0,0,0,0,0,0,0
"Krick,Julius",0,0,0,0,0,0,0,0
"Křištan,Lukáš",0,0,0,0,0,0,0,0
"Kubin,Alfred",0,0,0,0,1,0,2,3
"Kunkel,Thor",0,0,0,0,0,0,0,0
"Kurbjuweit,Dirk",0,0,0,0,1,0,0,1
"Kürten,Claudio",0,0,0,0,0,0,0,0
"Kwaysser,Marie",0,0,0,0,0,0,0,0
"Lacrosse,Marie",0,0,0,0,0,0,0,0
"Lamballe,Marie",0,0,0,0,0,0,0,0
"Lange,MoritzWulf",0,0,0,0,0,0,0,0
"Lansburgh,Werner",0,0,0,0,0,0,0,0
"Laub,Gabriel",0,0,0,0,0,0,0,0
"Laureen,Anne",0,0,0,0,0,0,0,0
"LeFort,Gertrudvon",0,0,0,0,0,2,3,5
"Lehmann,Hanjo",0,0,0,0,0,0,0,0
"Lehne,Fr.",0,0,0,0,0,0,0,0
"Lehnhoff,Joachim",0,0,0,0,0,0,0,0
"Leppin,Paul",0,0,0,0,0,0,0,0
"Lewinsky,Charles",0,1,1,0,0,1,1,4
"Lieckfeld,Claus-Peter",0,0,0,0,0,0,0,0
"Lohmann,Eva",0,0,0,0,0,0,0,0
"Lorenzen,Rudolf",0,0,0,0,0,0,0,0
"Lukas,Leo",0,0,0,0,0,0,0,0
"Lyne,Charlotte",0,0,0,0,0,1,0,1
"Mahrendorff,C.S.",0,0,0,0,0,0,0,0
"Maier,Anja",0,0,0,0,0,0,0,0
"Maly,Anton",0,0,0,0,0,0,0,0
"Mandl,HerbertT.",0,0,0,0,0,0,0,0
"Mannel,Beatrix",0,0,0,0,0,1,1,2
"Marcus,MarthaSophie",0,0,0,0,0,0,0,0
"Marginter,Peter",0,0,0,0,0,1,0,1
"Marlowe,Emma",0,0,0,0,0,0,0,0
"Marni,Nicola",0,0,0,0,0,0,0,0
"Martin,Sabine",0,0,0,0,0,1,0,1
"Martinek,Hilly",0,0,0,0,0,0,0,0
"Martini,Caro",0,0,0,0,0,0,0,0
"Martini,Manuela",0,0,0,0,0,0,0,0
"Marx-Lindner,Lo",0,0,0,0,0,0,0,0
"Maurer,Jörg",0,0,0,0,0,2,0,2
"Mayer,Gina",0,0,0,0,0,0,1,1
"Mayröcker,Friederike",0,2,0,0,0,0,1,3
"Melle,Thomas",0,0,0,0,0,0,0,0
"Mennen,Patricia",0,0,0,0,0,0,0,0
"Merz,Klaus",0,0,0,0,0,1,0,1
"Messner,Reinhold",0,0,0,0,0,0,1,1
"Modick,Klaus",0,0,0,0,1,0,0,1
"Mohafez,Sudabeh",0,0,0,0,0,0,0,0
"Moldovan,Kurt",0,0,0,0,0,0,0,0
"Molinari,Gianna",0,0,0,0,0,0,0,0
"Montillon,Christian",0,0,0,0,0,0,0,0
"Morrison,Tania",0,0,0,0,0,0,0,0
"Muecklich,Bernhardvon",0,0,0,0,0,0,0,0
"Mueller-Stahl,Armin",0,0,0,0,0,0,0,0
"Mühlberger,Josef",0,0,0,0,0,0,0,0
"Müller,Ray",0,0,0,0,0,0,0,0
"Müller,Willibald",0,0,0,0,0,0,0,0
"Murr,Stefan",0,0,0,0,0,0,0,0
"Nelken,Dinah",0,0,0,0,0,0,0,0
"Neumann,Robert",0,0,0,0,0,0,0,0
"Niedlich,Sebastian",0,0,0,0,0,0,0,0
"Oken,Edgar",0,0,0,0,0,0,0,0
"Ortner,OttoLudwig",0,0,0,0,0,0,0,0
"Overath,Angelika",0,0,0,0,0,0,0,0
"Özdogan,Selim",0,0,0,0,0,0,0,0
"Pásztor,Susann",0,0,0,0,0,0,0,0
"Pauly,Gisa",0,0,0,0,0,0,0,0
"Pausewang,Gudrun",0,0,0,0,0,0,0,0
"Pedretti,Erica",0,0,0,0,0,0,0,0
"Percha,Igorvon",0,0,0,0,0,0,0,0
"Peters,Julie",0,0,0,0,0,0,0,0
"Peters,Pauline",0,0,0,0,0,1,0,1
"Piper,Hans-A.",0,0,0,0,0,0,0,0
"Pluhar,Erika",0,0,0,0,0,0,0,0
"Polák,VlastimilArtur",0,0,0,0,0,0,0,0
"Polzer-Hoditz,Ludwig",0,0,0,0,0,0,0,0
"Preußler,Otfried",0,0,0,0,0,0,0,0
"Prien,Günther",0,0,0,0,0,0,0,0
"Prinz,Martin",0,0,0,0,0,0,0,0
"Prokop,Gert",0,0,0,0,0,0,0,0
"Raabe,Marc",0,0,0,0,0,0,0,0
"Rainalter,ErwinHerbert",0,0,0,0,0,0,0,0
"Rath,Hans",0,1,0,0,0,0,0,1
"Rehfeld,Frank",0,0,0,0,0,0,0,0
"Reich,Helena",0,0,0,0,0,0,0,0
"Reimann,Brigitte",0,0,0,0,0,0,2,2
"Reinerová,Lenka",0,0,0,0,0,0,0,0
"Reinwarth,Alexandra",0,0,0,0,0,0,0,0
"Renn,Ludwig",0,0,0,0,0,0,1,1
"Resch,Erwin",0,0,0,0,0,0,0,0
"Riebe,Brigitte",0,1,0,0,2,1,0,4
"Riedel,Susanne",0,0,0,0,0,0,0,0
"Riess,Erwin",0,0,0,0,0,0,0,0
"Ringelnatz,Joachim",0,0,0,0,0,0,0,0
"Rode,Tibor",0,0,0,0,0,0,0,0
"Rodik,Belinda",0,0,0,0,1,0,1,2
"Roedl,Urban",0,0,0,0,0,0,0,0
"Rohr,Angela",0,0,0,0,0,0,0,0
"Ronzoni,Michaela",0,0,0,0,0,0,0,0
"Rosenblum,Senek",0,0,0,0,0,0,0,0
"Rößler,Max",0,0,0,0,0,0,0,0
"Rudorf,Sonja",0,0,0,0,0,0,0,0
"Rühle-Gerstel,Alice",0,0,0,0,0,0,0,0
"Rylance,Ulrike",0,0,0,0,0,0,0,0
"Saar,Ferdinandvon",0,0,0,0,0,0,0,0
"Sachau,Ursula",0,0,0,0,0,0,0,0
"Salten,Felix",0,0,0,0,0,2,1,3
"Salvatore,Gaston",0,0,0,0,0,0,0,0
"Sander,Karen",0,0,0,0,0,0,0,0
"Schärf,Christian",0,0,0,0,0,0,0,0
"Schick,Eugen",0,0,0,0,0,0,0,0
"Schiewe,Ulf",0,0,0,0,0,0,0,0
"Schiffer,Wolfgang",0,0,0,0,0,0,0,0
"Schiller,B.C.",0,0,0,0,0,0,0,0
"Schimanek,Leosch",0,0,0,0,0,0,0,0
"Schlag,Hans",0,0,0,0,0,0,0,0
"Schramm,Karin",0,0,0,0,0,0,0,0
"Schreyer,Wolfgang",0,0,0,0,0,2,0,2
"Schroeder,Bernd",0,0,0,0,0,0,0,0
"Schulz,Berndt",0,0,0,0,0,0,0,0
"Schulz,MaxWalter",0,0,0,0,0,0,0,0
"Schuster,PeterM.",0,0,0,0,0,0,0,0
"Scofield,RaymondA.",0,0,0,0,0,0,0,0
"Seidel,Georg",0,0,0,0,0,0,0,0
"Seifert,Dagmar",0,0,0,0,0,0,0,0
"Seipolt,Adalbert",0,0,0,0,0,0,0,0
"Seitz,Susanne",0,0,0,0,0,0,1,1
"Selinko,Annemarie",0,0,0,0,0,0,1,1
"Şenocak,Zafer",0,1,0,0,0,0,1,2
"Setzwein,Bernhard",0,0,0,0,0,0,0,0
"Simon,Erik",0,0,0,0,0,0,0,0
"Simon,Teresa",0,0,0,0,0,0,0,0
"Singer,Lea",0,0,0,0,0,0,0,0
"Smercek,Borisvon",0,0,0,0,0,1,0,1
"Sobol,Yehoshuaʿ",0,0,0,0,0,0,0,0
"SoloLovec",0,0,0,0,0,0,0,0
"Sommer,Erika",0,0,0,0,0,0,0,0
"Sommer,Ernst",0,0,0,0,0,0,0,0
"Sonnenschein,Hugo",0,0,0,0,0,0,0,0
"Soyener,Johannes",0,0,0,0,0,0,0,0
"Spiess,ChristianHeinrich",0,0,0,0,0,0,0,0
"Stalmann,Franziska",0,0,0,0,0,0,1,1
"Stavarič,Michael",0,0,0,0,0,0,0,0
"Steinberg,Jill",0,0,0,0,0,0,0,0
"Steinberg,Werner",0,0,0,0,0,0,0,0
"Stifter,Adalbert",0,0,0,0,2,2,7,11
"Stössinger,Verena",0,0,0,0,0,0,0,0
"Strittmatter,Erwin",0,0,0,0,0,0,0,0
"Ströbinger,Rudolf",0,0,0,0,0,0,0,0
"Struhar,Stanislav",0,0,0,0,0,0,0,0
"Strunk,Heinz",0,0,0,0,0,0,0,0
"Šulc,Jiří",0,0,0,0,0,0,0,0
"Swann,Leonie",0,0,0,0,0,0,0,0
"Swidler,UliT.",0,0,0,0,0,0,0,0
"Tempel,Katrin",0,0,0,0,0,0,0,0
"Thomas,Charlotte",0,0,0,0,0,0,0,0
"Thorne,Laura",0,0,0,0,0,1,0,1
"Tietz,Gerold",0,0,0,0,0,0,0,0
"Toller,Ernst",0,0,0,0,0,0,1,1
"Tomiak,Kerstin",0,0,0,0,0,0,0,0
"Torberg,Friedrich",0,0,0,0,0,0,2,2
"Torsten,Helga",0,0,0,0,0,0,0,0
"TrützschlervonFalkenstein,Eugenie",0,0,0,0,0,0,0,0
"Tykwer,Tom",0,0,0,0,0,0,0,0
"Uhlmann,Thees",0,0,0,0,0,0,0,0
"Ulrich,Stefan",0,0,0,0,0,0,0,0
"Ungar,Hermann",0,0,0,0,1,0,5,6
"Unterweger,Jack",0,0,0,0,0,0,0,0
"Uris,Leon",0,0,0,0,0,0,0,0
"Urzidil,Johannes",0,0,0,0,0,0,1,1
"Velasco,Stefaniede",0,0,0,0,0,0,0,0
"Veran,Traude",0,0,0,0,0,0,0,0
"Vertlib,Vladimir",0,0,0,0,0,0,0,0
"Vogt,Walter",0,0,0,0,0,0,0,0
"Volkers,Mara",0,0,0,0,0,0,0,0
"Voosen,Roman",0,0,0,0,0,0,0,0
"Voss,Willi",0,0,0,0,0,0,0,0
"Walden,Laura",0,0,0,0,0,2,0,2
"Walloth,Wilhelm",0,0,0,0,0,0,0,0
"Wantula,Kathinka",0,0,0,0,0,0,0,0
"Wassermann,Sabine",0,0,0,0,0,0,0,0
"Waters,Shirley",0,0,0,0,0,2,0,2
"Weigold,Christof",0,0,0,0,0,0,0,0
"Weiß,Ernst",0,1,0,0,1,0,3,5
"Wendland,Martin",0,0,0,0,0,0,0,0
"Wewerka,Michael",0,0,0,0,0,0,0,0
"Wich,Henriette",0,0,0,0,0,0,0,0
"Wilhelm,Uwe",0,0,0,0,0,0,1,1
"Würger,Takis",0,0,0,0,0,0,0,0
"Wurm,Franz",0,0,0,0,0,0,0,0
"Youkhana,Sargon",0,0,0,0,0,0,0,0
"Ziegler,Thomas",0,0,0,0,0,0,0,0
"Ziesche,MariaCalasanz",0,0,1,0,0,0,0,1
"Zinn,Dorit",0,1,0,0,0,0,0,1
"Abele,Jan",0,0,0,0,0,0,0,0
"Askan,Katrin",0,0,0,0,0,0,0,0
"Baronsky,Eva",0,1,0,0,0,0,0,1
"Borrmann,Mechtild",0,0,0,0,0,0,0,0
"Brandis,Mark",0,0,0,0,0,0,0,0
"Buchholz,Simone",0,0,0,0,0,0,0,0
"Chaimowicz,Sascha",0,0,0,0,0,0,0,0
"Chaplet,Anne",0,0,0,0,0,0,0,0
"Christophersen,Jan",0,0,0,0,0,0,0,0
"Degenhardt,FranzJosef",0,0,0,0,0,0,0,0
"Deitmer,Sabine",0,0,0,0,0,0,0,0
"Demirkan,Renan",0,1,0,0,0,0,0,1
"Dische,Irene",0,0,0,0,0,0,0,0
"Duvanel,Adelheid",0,0,0,0,0,1,0,1
"Duve,Karen",0,0,0,3,1,0,3,7
"Ebertowski,Jürgen",0,5,0,0,0,0,0,5
"Eckert,Hella",0,0,0,0,0,0,0,0
"Elmiger,Dorothee",0,2,0,0,0,0,0,2
"Fleißer,Marieluise",0,0,0,0,0,0,0,0
"Gercke,Doris",0,0,0,1,0,0,1,2
"Goldammer,Frank",0,0,0,0,0,0,0,0
"Goll,Yvan",0,0,0,0,0,0,0,0
"Hanika,BeateTeresa",0,0,0,0,0,0,1,1
"Herzberg,André",0,0,0,0,0,0,0,0
"Hoffmann,Heinrich",0,0,0,0,0,0,0,0
"Honigmann,Barbara",0,0,0,2,0,0,0,2
"John,Kirsten",0,0,0,0,0,0,0,0
"JuulClausen,Erik",0,0,0,0,0,0,0,0
"Kleeberg,Michael",0,0,0,0,1,0,0,1
"Kling,Marc-Uwe",0,0,0,0,0,0,0,0
"Klönne,Gisa",0,0,0,0,0,0,3,3
"Königsdorf,Helga",0,0,0,0,0,0,0,0
"Korschunow,Irina",0,0,0,0,0,0,0,0
"Lappert,Rolf",0,1,0,0,0,0,0,1
"Lazar,Maria",0,0,0,0,0,0,0,0
"Lebert,Benjamin",0,0,0,0,0,1,0,1
"Leky,Mariana",0,0,0,0,0,0,2,2
"Meyer,Clemens",0,1,2,0,0,0,1,4
"Mozart,WolfgangAmadeus",0,0,0,0,0,0,1,1
"Nevis,Ben",0,0,0,0,0,0,1,1
"Oelker,Petra",0,0,0,0,0,0,0,0
"Petschull,Jürgen",0,0,0,0,0,0,0,0
"Poschenrieder,Christoph",0,0,0,0,0,0,0,0
"Przybyszewski,Stanisław",0,0,0,0,0,0,0,0
"Reichlin,Linus",0,1,0,0,0,0,1,2
"Ritzel,Ulrich",0,0,0,0,0,0,0,0
"Rodrian,Irene",0,0,0,0,0,0,0,0
"Rudigier,Helmut",0,0,0,0,0,0,0,0
"Sachs,Hans",0,0,0,0,0,0,1,1
"Scheuer,Norbert",0,1,0,0,0,0,0,1
"Schreiber-Wicke,Edith",0,0,0,0,0,0,0,0
"Schröder,Adolf",0,0,0,0,0,0,0,0
"Schwitter,Monique",0,0,1,0,0,0,0,1
"Silber,Rolf",0,0,0,0,0,0,0,0
"Speichert,Horst",0,0,0,0,0,0,0,0
"Strauß,Simon",0,0,0,0,0,0,0,0
"Stuckrad-Barre,Benjaminvon",0,0,0,0,0,0,0,0
"Tawada,Yōko",0,1,0,1,0,0,0,2
"Tesch,Michael",0,0,0,0,0,0,0,0
"Tillmann,Anke",0,0,1,0,0,0,0,1
"Valentin,Stephan",0,0,0,0,0,0,0,0
"Waterhouse,Peter",0,0,0,1,0,0,0,1
"Wildenhain,Michael",0,0,0,0,0,0,0,0
"Wilkomirski,Binjamin",0,0,0,1,0,0,0,1
"Winterfeld,Ulrich",0,0,0,0,0,0,0,0
"Wodin,Natascha",0,0,0,0,0,0,1,1
"Wölfli,Adolf",0,0,0,0,0,0,0,0
"Zeindler,Peter",0,0,0,0,0,0,0,0
"Zürn,Unica",0,0,0,0,0,0,3,3
"A.,Sonay",0,0,0,0,0,0,0,0
"Abarbanell,Stephan",0,0,0,0,0,0,0,0
"Adler,Hans",0,0,0,0,0,0,0,0
"Ambras,Elisabeth",0,0,0,0,0,0,0,0
"Anders,Günther",0,0,0,0,0,0,0,0
"Augustin,Anita",0,0,0,0,0,0,0,0
"Aydemir,Fatma",0,0,0,0,0,0,0,0
"Baier,Lothar",0,0,0,0,0,0,0,0
"Ballabene,Alfred",0,0,0,0,0,0,0,0
"Barbetta,MaríaCecilia",0,0,1,0,0,0,0,1
"Bauer,Jutta",0,0,0,0,0,0,0,0
"Bauknecht,Werner",0,0,0,0,0,0,0,0
"Baumgarten,Jürgen",0,0,0,0,0,0,0,0
"Bayer,Konrad",0,0,0,0,0,0,0,0
"Bazyar,Shida",0,1,0,0,0,0,0,1
"Becker,Lars",0,0,0,0,0,0,0,0
"Beele,Louisa",0,0,0,0,0,0,0,0
"Beer,Alex",0,0,0,0,0,0,1,1
"Bender,Marylka",0,0,0,0,0,0,0,0
"Berg,Alex",0,0,0,0,0,0,0,0
"Berkel,Christian",0,0,0,0,1,0,0,1
"Bessing,Joachim",0,0,0,0,0,0,0,0
"Bjerg,Bov",0,0,0,0,0,1,0,1
"Blobel,Brigitte",0,0,0,0,0,0,0,0
"Blom,Philipp",0,0,0,0,0,0,0,0
"Bluhm,Detlef",0,0,0,0,0,2,0,2
"Böckl,Manfred",0,0,0,0,0,1,0,1
"Bogdan,Isabel",0,0,0,0,0,0,0,0
"Böll,Lisa",0,0,0,0,0,0,0,0
"Bonné,Mirko",0,0,0,0,0,1,0,1
"Bouma,Hans",0,0,0,0,0,0,0,0
"Bräunig,Werner",0,0,0,0,0,0,0,0
"Breznik,Melitta",0,0,0,0,0,0,1,1
"Brudereck,Christina",0,0,0,0,0,0,0,0
"Brunner,Hans",0,0,0,0,0,0,0,0
"Bülow,Trixivon",0,0,0,0,0,0,1,1
"Camenisch,Arno",0,0,0,0,0,0,3,3
"Canetti,Veza",0,0,0,1,0,0,2,3
"Conrad,Julia",0,0,0,0,0,0,0,0
"Cookson,Catherine",0,0,0,0,0,0,0,0
"Cotten,Ann",0,0,0,0,0,0,0,0
"Crown,Jonathan",0,0,0,0,0,0,1,1
"Cyran,Eberhard",0,0,0,0,0,0,0,0
"Dehnerdt,Eleonore",0,0,0,0,0,0,0,0
"Dietz,Friedrich",0,0,0,0,0,0,0,0
"Dobbers,Jens",0,0,0,1,0,0,0,1
"Döbrich,Annette",0,0,0,0,0,0,0,0
"Doderer,Heimitovon",0,0,1,0,0,1,5,7
"Domin,Hilde",0,0,0,1,0,0,1,2
"Dorn,Thea",0,0,0,0,0,0,0,0
"Dulleck,Nina",0,0,0,0,0,0,0,0
"Dziewas,Dorothee",0,0,0,0,0,0,0,0
"Eberlein,Maren",0,0,0,0,0,0,0,0
"Ebner,Gudrun",0,0,0,0,0,0,0,0
"Eckert,Horst",0,0,0,0,0,0,0,0
"Engel,Leopold",0,0,0,0,0,0,0,0
"Engelmann,Bernt",0,0,0,0,1,0,0,1
"Engelmann,Ulrich",0,0,0,0,0,0,0,0
"Englisch,Andreas",0,0,0,0,0,0,1,1
"Ernst,Gustav",0,0,0,0,0,1,0,1
"Falk,Rita",0,3,0,0,0,0,0,3
"Fallwickl,Mareike",0,0,0,0,0,0,0,0
"Fassbinder,Helga",0,0,0,0,0,0,0,0
"Felten,Monika",0,0,0,0,0,0,0,0
"Fischer,Erica",0,1,0,0,0,0,0,1
"Flex,Walter",0,0,0,0,0,0,0,0
"Frank,Leonhard",0,0,0,0,0,0,3,3
"Fried,Amelie",0,0,0,0,1,0,0,1
"Friedrich,Anna",0,0,0,0,0,0,0,0
"Fritsch,Valerie",0,0,0,0,0,0,1,1
"Froeschel,George",0,0,0,0,0,0,0,0
"Fühmann,Franz",0,0,0,0,0,0,0,0
"Funk,Kristin",0,0,0,0,0,0,0,0
"Funk,Mirna",0,0,0,0,0,0,0,0
"Ganser,Susanne",0,0,0,0,0,0,0,0
"Garstka,Dietrich",0,0,0,0,0,0,0,0
"Gehring,Birgitt",0,0,0,0,0,0,0,0
"Georgi,André",0,0,0,0,0,0,0,0
"Gerstenberg,Franziska",0,0,0,0,0,0,0,0
"Giampietro,Nicoletta",0,0,0,0,0,0,0,0
"Gmeyner,Anna",0,0,0,0,0,0,0,0
"Goes,Albrecht",0,0,0,0,0,0,0,0
"Gombold,Bernd",0,0,0,0,0,0,0,0
"Gorelik,Lena",0,0,0,0,0,0,0,0
"Grabbe,ChristianDietrich",0,0,0,0,0,0,0,0
"Gregor,Manfred",0,0,0,0,0,0,0,0
"Grigorcea,Dana",0,0,0,0,0,0,0,0
"Grimm,HansHerbert",0,0,0,0,1,0,1,2
"Güngör,Dilek",0,0,0,0,0,0,0,0
"Hahn,Ulla",0,0,0,1,0,0,1,2
"Halbe-Bauer,Ulrike",0,0,0,0,0,0,0,0
"Hamann,Anna",0,0,0,0,0,0,0,0
"Hamann,Christof",0,0,0,0,0,0,0,0
"Hampe,JohannChristoph",0,0,0,0,0,0,0,0
"Hasler,Eveline",0,0,0,0,0,0,0,0
"Hegemann,Helene",0,0,0,0,0,0,0,0
"Hegewisch,Helga",0,0,0,0,1,0,0,1
"Hein,Christa",0,0,0,0,0,0,1,1
"Heischkamp,Anna",0,0,0,0,0,0,0,0
"Helfer,Monika",0,0,0,0,0,0,0,0
"Helfrich,Horst",0,0,0,0,0,0,0,0
"Hennen,Bernhard",0,0,0,0,0,1,0,1
"Herbing,Alina",0,0,0,0,0,0,0,0
"Herburger,Günter",0,0,0,0,0,0,0,0
"Herlin,Hans",0,0,0,0,0,0,0,0
"Hesse,AndreasD.",0,0,0,0,0,0,0,0
"Hinrichsen,Peter",0,0,0,0,0,0,0,0
"Hitzbleck,Klaus-Bodo",0,0,0,0,0,0,0,0
"Hoffmann,Sandra",0,0,0,0,0,0,0,0
"HoffmannvonFallersleben,AugustHeinrich",0,0,0,0,0,0,0,0
"Hohl,Ludwig",0,0,0,0,0,0,3,3
"Horváth,Martin",0,0,0,0,0,0,0,0
"Huizing,Klaas",0,0,0,0,1,1,0,2
"Ingendaay,Paul",0,0,0,0,0,0,0,0
"Ingenheim,Marieluisevon",0,0,1,0,0,0,0,1
"Isemann,Bernd",0,0,0,0,0,0,0,0
"Isringhaus,Jörg",0,0,0,0,0,0,0,0
"Jansen,Hanna",0,0,0,0,0,0,0,0
"Jaschinski,Christian",0,0,0,0,0,0,0,0
"Jeissing,Ivana",0,0,0,0,0,0,1,1
"Jörgensen,Dieter",0,0,0,0,0,0,0,0
"Josten,Husch",0,0,0,0,0,0,0,0
"Jungk,PeterStephan",0,0,0,0,0,0,1,1
"Kaiser-Mühlecker,Reinhard",0,0,0,0,0,0,0,0
"Kalman,Anna",0,0,0,0,0,0,0,0
"Karoly,Jil",0,0,0,0,0,0,0,0
"Kast-Riedlinger,Annette",0,0,0,0,0,0,0,0
"Käufer,HugoErnst",0,0,0,0,0,0,0,0
"Kaufman,Kat",0,0,0,0,0,0,0,0
"Kebir,Sabine",0,0,0,0,0,0,0,0
"Kegel,Bernhard",0,0,0,0,0,0,1,1
"Keglevic,Peter",0,0,0,0,0,0,0,0
"Kempowski,Walter",0,0,0,0,0,0,1,1
"Kessel,Martin",0,0,0,0,0,0,1,1
"Kesser,Hermann",0,0,0,0,0,0,0,0
"Kiening,Alexandra",0,0,0,0,0,0,0,0
"Kirchhoff,Hans",0,0,0,0,0,0,0,0
"Kling,Ulla",0,0,0,0,0,0,0,0
"Kluger,Martin",0,0,0,0,0,0,0,0
"Klugmann,Norbert",0,0,0,0,0,0,0,0
"Knellwolf,Ulrich",0,0,0,0,0,0,0,0
"Koch,Erich",0,0,0,0,0,0,0,0
"Kögl,Gabriele",0,0,0,0,0,0,0,0
"Kolmar,Gertrud",0,0,0,1,0,0,1,2
"Kolosowa,Wlada",0,0,0,0,0,0,0,0
"König,Lea",0,0,0,0,0,0,0,0
"Köppen,Edlef",0,0,0,0,0,0,0,0
"Körner,Heinz",0,0,0,0,0,0,3,3
"Kühn,Andrea",0,0,0,0,0,0,0,0
"Kuhn,SandyTaikyu",0,0,0,0,0,0,0,0
"Kutschke,Svealena",0,0,0,0,0,0,0,0
"Ledig,Gert",0,0,1,0,0,0,1,2
"Leenders,Hiltrud",0,0,0,0,0,0,0,0
"Lenz,Pedro",0,0,0,0,0,0,0,0
"Leo,Per",0,0,0,0,0,0,0,0
"Lindholm,Dan",0,0,0,0,0,0,0,0
"Lippke,Mila",0,0,0,0,0,0,0,0
"Lögering,Carsten",0,0,0,0,0,0,0,0
"Löwenberg,Nele",0,0,0,0,0,0,0,0
"Lux,Lana",0,0,0,0,0,0,0,0
"Marcus,Paul",0,0,0,0,0,0,0,0
"Marzi,Christoph",0,0,0,0,0,0,0,0
"Maurer,MariaLuise",0,0,0,0,0,0,0,0
"Meier,Beatrice",0,0,0,0,0,0,0,0
"Meinecke,Thomas",0,0,0,0,0,0,0,0
"Meißner,TobiasO.",0,0,0,0,0,0,0,0
"Merkel,Inge",0,0,0,0,0,0,1,1
"Merkel,Rainer",0,0,0,0,0,0,0,0
"Mikeleitis,Edith",0,0,0,0,0,0,0,0
"Mischke,Thilo",0,0,0,0,0,0,0,0
"Mitgutsch,Anna",0,0,0,0,0,0,3,3
"Müller,DieterAlpheo",0,0,0,0,0,0,0,0
"Müller,Titus",0,0,0,0,1,0,2,3
"Mulot,Sibylle",0,0,0,0,1,0,1,2
"Nendza,Jürgen",0,0,0,0,0,0,0,0
"Nestvold,Ruth",0,0,0,0,0,0,0,0
"Nett,Olaf",0,0,0,0,0,0,0,0
"Niedermeier,Karin",0,0,0,0,0,0,0,0
"Nöldeke,Eva",0,0,0,0,0,0,0,0
"Olvedi,Ulli",0,0,0,0,0,0,1,1
"Ott,Karl-Heinz",0,0,0,0,0,0,0,0
"Paprotta,Astrid",0,0,0,0,0,0,0,0
"Partmann,Irmgard",0,0,0,0,0,0,0,0
"Paust,Ingerose",0,0,0,0,0,0,0,0
"Pfaus,WalterG.",0,0,0,0,0,0,0,0
