"","from","to","weight"
"1","cze","dut",283
"2","cze","eng",272
"3","cze","fre",317
"4","cze","hun",212
"5","cze","ita",298
"6","cze","pol",262
"7","cze","rus",219
"8","cze","spa",317
"9","dut","eng",328
"10","dut","fre",381
"11","dut","hun",206
"12","dut","ita",343
"13","dut","pol",263
"14","dut","rus",203
"15","dut","spa",345
"16","eng","fre",430
"17","eng","hun",209
"18","eng","ita",361
"19","eng","pol",251
"20","eng","rus",207
"21","eng","spa",370
"22","fre","hun",233
"23","fre","ita",434
"24","fre","pol",303
"25","fre","rus",236
"26","fre","spa",443
"27","fre","swe",211
"28","fre","tur",202
"29","hun","ita",212
"30","hun","spa",217
"31","ita","pol",275
"32","ita","rus",228
"33","ita","spa",382
"34","pol","rus",208
"35","pol","spa",288
"36","rus","spa",234
