"","x"
"1","ara"
"2","arm"
"3","baq"
"4","bel"
"5","ben"
"6","bnt"
"7","bos"
"8","bre"
"9","cat"
"10","chi"
"11","dsb"
"12","epo"
"13","est"
"14","fao"
"15","fin"
"16","fry"
"17","geo"
"18","ger"
"19","gla"
"20","gle"
"21","glg"
"22","heb"
"23","hin"
"24","ice"
"25","ind"
"26","kaz"
"27","kor"
"28","kur"
"29","lat"
"30","lav"
"31","lit"
"32","ltz"
"33","mac"
"34","mal"
"35","may"
"36","mon"
"37","mul"
"38","nds"
"39","nno"
"40","oci"
"41","per"
"42","roh"
"43","rum"
"44","sin"
"45","slo"
"46","tha"
"47","tir"
"48","ukr"
"49","urd"
"50","vie"
"51","wel"
"52","wln"
"53","yid"
