"","bul","cze","dan","dut","eng","fre","gre","gsw","hrv","hun","ita","jpn","kir","mlt","nor","pol","por","rus","slv","spa","srp","swa","swe","tur","authorcount","author_lang_count"
"Ganglbauer,Petra",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Garner,R.F.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Gelich,Johannes",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Gerstäcker,Friedrich",3,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
"Gier,Kerstin",5,6,0,0,1,0,0,0,3,2,1,1,0,0,0,2,0,1,5,1,0,0,0,2,30,13
"Goetsch,Daniel",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Goosen,Frank",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Gotthelf,Jeremias",1,1,0,0,4,5,0,0,0,0,4,1,0,0,0,0,0,1,1,1,0,0,0,0,19,10
"Grjasnowa,Olga",1,1,2,2,2,1,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,2,0,17,13
"Gryphius,Andreas",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"Gülich,Martin",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,6
"Haas,Wolf",1,1,0,0,8,3,0,0,0,7,1,1,0,0,0,10,0,1,2,5,0,0,0,0,40,12
"Hacke,Axel",1,0,0,1,0,1,0,0,0,0,2,2,0,0,0,1,0,1,0,1,0,0,0,0,10,9
"Haich,Elisabeth",1,2,1,3,0,2,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,14,11
"Hammer,JoachimGunter",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Hanika,Iris",2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,10,10
"Hartlieb,Petra",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,7,6
"Härtling,Peter",2,3,0,3,3,7,2,0,0,2,1,1,0,0,0,1,2,0,0,3,0,0,2,0,32,14
"Haslehner-Götz,Elfriede",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Hassler,Silke",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Hauff,Wilhelm",1,0,0,0,0,3,1,0,0,3,0,2,0,0,0,0,0,8,0,4,1,0,0,0,23,9
"Heinrich,FranzJosef",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Heiss,Sonja",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Heitz,Markus",10,27,0,17,9,18,0,0,0,1,14,1,0,0,0,0,0,4,0,0,1,0,1,0,103,12
"Helle,Heinz",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,5
"Hennig,Falko",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Hirschfeld,Georg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Hochgatterer,Paulus",2,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,6
"Hochwälder,Fritz",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4
"Hoffmann,Léopold",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Hofmannsthal,Hugovon",2,0,1,3,4,9,1,0,1,1,6,1,0,0,0,1,0,1,2,8,2,0,0,0,43,16
"Hohberg,Annette",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Hohlbein,Wolfgang",9,5,1,6,1,1,0,0,0,6,2,0,0,0,0,2,1,12,0,7,0,0,0,0,53,13
