"","Var1","Freq"
"1","1980",17
"2","1981",15
"3","1982",11
"4","1983",15
"5","1984",23
"6","1985",25
"7","1986",24
"8","1987",64
"9","1988",72
"10","1989",224
"11","1990",656
"12","1991",793
"13","1992",951
"14","1993",1045
"15","1994",1148
"16","1995",1005
"17","1996",976
"18","1997",1006
"19","1998",1025
"20","1999",1064
"21","2000",1066
"22","2001",1029
"23","2002",999
"24","2003",1010
"25","2004",1112
"26","2005",1279
"27","2006",1341
"28","2007",1191
"29","2008",1287
"30","2009",1311
"31","2010",1286
"32","2011",1375
"33","2012",1524
"34","2013",1552
"35","2014",1607
"36","2015",1614
"37","2016",1559
"38","2017",1459
"39","2018",1372
"40","2019",1575
"41","2020",1312
"42","2021",1363
"43","2022",933
"44","2023",40
