"","language","count"
"1","bul",138
"2","cze",377
"3","dan",73
"4","dut",350
"5","eng",571
"6","fre",500
"7","gre",62
"8","gsw",26
"9","hrv",60
"10","hun",171
"11","ita",333
"12","jpn",79
"13","kir",1
"14","nor",33
"15","pol",297
"16","por",61
"17","rus",102
"18","slv",61
"19","spa",329
"20","srp",60
"21","swe",66
"22","tur",89
