"","author","place_count","title_count","residuals"
"117","Cott, Georg Oswald",1,1,-0.0121680186687412
"118","Courant, Maria",1,1,-0.0121680186687412
"119","Cramer von Clausbruch, Adelheid",1,1,-0.0121680186687412
"120","Cramer, Sofie",1,1,-0.0121680186687412
"121","Cronenburg, Petra van",1,2,-0.275882505463569
"122","Cumart, Nevfel",1,1,-0.0121680186687412
"123","Currey, Mason",1,1,-0.0121680186687412
"124","D'Erceville, Danielė",1,1,-0.0121680186687412
"125","Daive, Jean",1,1,-0.0121680186687412
"126","Dal Poggetto, Manuela",1,1,-0.0121680186687412
"127","Daly, Leo",1,1,-0.0121680186687412
"128","Dannhorn, Joung-Ja",1,1,-0.0121680186687412
"129","Däubler, Theodor",1,1,-0.0121680186687412
"130","David, Ernst",1,1,-0.0121680186687412
"131","Decar, Michel",1,1,-0.0121680186687412
"132","Denk, Victor Martin Otto",1,1,-0.0121680186687412
"133","Déry, Tibor",1,1,-0.0121680186687412
"134","Dick, Uwe",1,1,-0.0121680186687412
"135","Dickow, Barbara",1,1,-0.0121680186687412
"136","Diebels, Birgit",1,1,-0.0121680186687412
"137","Diehl, Andreas",1,1,-0.0121680186687412
"138","Dischereit, Esther",1,1,-0.0121680186687412
"139","Doehnert, Rodica",1,1,-0.0121680186687412
"140","Doll, Georgia",1,1,-0.0121680186687412
"141","Domašcyna, Róža",1,1,-0.0121680186687412
"142","Döry, Ruth",1,1,-0.0121680186687412
"143","Dostojewskij, Fjodor M.",2,5,-0.0670259658480506
"144","Doyle, Arthur Conan",1,1,-0.0121680186687412
"145","Dreichlinger, Vera",1,1,-0.0121680186687412
"146","Dreiske, Hans-Herbert",2,2,0.724117494536431
"147","Droste, Georg",1,1,-0.0121680186687412
"148","Duhm, Heltrud",1,1,-0.0121680186687412
"149","Duncker, Dora",1,1,-0.0121680186687412
"150","Dutli-Rutishauser, Maria",2,2,0.724117494536431
"151","Eastland, Sam",1,1,-0.0121680186687412
"152","Edel, Rabea",1,1,-0.0121680186687412
"153","Eibel, Stephan",1,1,-0.0121680186687412
"154","Eilenberger, Wolfram",1,1,-0.0121680186687412
"155","Eis, Osso",1,1,-0.0121680186687412
"156","Eliot, T. S.",1,1,-0.0121680186687412
"157","Eners, W. I.",1,1,-0.0121680186687412
"158","Ephrussi, Elisabeth von",1,1,-0.0121680186687412
"159","Erath, Vinzenz",1,1,-0.0121680186687412
"160","Erkel, Ferenc",1,1,-0.0121680186687412
"161","Erpenbeck, Charlotte",1,1,-0.0121680186687412
"162","Ettl, Peter Jeremy",1,1,-0.0121680186687412
"163","Evers, Horst",1,1,-0.0121680186687412
"164","Faerber, Regina",1,1,-0.0121680186687412
"165","Fankhauser, Jürg M.",1,1,-0.0121680186687412
"166","Faro, Marlene",1,1,-0.0121680186687412
"167","Faschon, Susanne",1,1,-0.0121680186687412
"168","Fechenbach, Felix",1,1,-0.0121680186687412
"169","Federmair, Leopold",1,1,-0.0121680186687412
"170","Feehan, Christine",1,1,-0.0121680186687412
"171","Feldhaus, Hans-Jürgen",1,1,-0.0121680186687412
"172","Felix, D. S.",1,1,-0.0121680186687412
"173","Fernau, Joachim",1,1,-0.0121680186687412
"174","Fiebig, Gerald",1,1,-0.0121680186687412
"175","Fiechtner, Urs M.",1,1,-0.0121680186687412
"176","Fink, Georg",1,1,-0.0121680186687412
"177","Fischer, Rena",1,1,-0.0121680186687412
"178","Fletcher, Adam",1,1,-0.0121680186687412
"179","Flint, Sarah",1,1,-0.0121680186687412
"180","Flynn, Gillian",1,1,-0.0121680186687412
"181","Forster, E. M.",1,1,-0.0121680186687412
"182","Frank, Martin",1,1,-0.0121680186687412
"183","Franke, Ruth",1,1,-0.0121680186687412
"184","French, Tana",1,2,-0.275882505463569
"185","Funke, Cornelia",1,2,-0.275882505463569
"186","Gaiman, Neil",1,1,-0.0121680186687412
"187","Gary, Romain",1,1,-0.0121680186687412
"188","Gaugler-Straumann, Barbara",2,2,0.724117494536431
"189","Geerk, Frank",1,1,-0.0121680186687412
"190","Gehm, Franziska",1,1,-0.0121680186687412
"191","Gellhaus, Axel",1,1,-0.0121680186687412
"192","Gerlof, Kathrin",1,1,-0.0121680186687412
"193","Giono, Jean",1,1,-0.0121680186687412
"194","Girón, Manuel",1,1,-0.0121680186687412
"195","Glen, Joanna",1,1,-0.0121680186687412
"196","Godberg, Greta",1,1,-0.0121680186687412
"197","Goeb-Kümmel, Christine",1,2,-0.275882505463569
"198","Gomringer, Eugen",2,3,0.460403007741604
"199","Gonserowski, Annette",1,1,-0.0121680186687412
"200","Görlich, Günter",1,1,-0.0121680186687412
"201","Gradl, Christine",1,1,-0.0121680186687412
"202","Green, Simon R.",1,1,-0.0121680186687412
"203","Greif, Martin",1,1,-0.0121680186687412
"204","Griesbach, Corinna",1,1,-0.0121680186687412
"205","Griffiths, Sharon",1,1,-0.0121680186687412
"206","Grill, Harald",1,1,-0.0121680186687412
"207","Grosberg, Oskar",1,1,-0.0121680186687412
"208","Gröschner, Annett",2,2,0.724117494536431
"209","Grotjahn, Friedrich",1,1,-0.0121680186687412
"210","Grüneberger, Ralph",2,3,0.460403007741604
"211","Günther, Ralf",1,1,-0.0121680186687412
"212","Gutschmid, Eugen von",1,1,-0.0121680186687412
"213","Häfner, Guido",1,7,-1.59445493943771
"214","Häfner, Johannes",1,4,-0.803311479053223
"215","Hahn, Anna Katharina",1,1,-0.0121680186687412
"216","Hain, Paul",1,3,-0.539596992258396
"217","Hájíček, Jiří",1,1,-0.0121680186687412
"218","Hall, Constance",1,1,-0.0121680186687412
"219","Haller, Christian",1,1,-0.0121680186687412
"220","Hammacher, Wilfried",1,1,-0.0121680186687412
"221","Hartig, Dieter",1,1,-0.0121680186687412
"222","Harvey, Sarah",1,1,-0.0121680186687412
"223","Hassel, Mike",1,2,-0.275882505463569
"224","Haus, Heinz-Uwe",1,1,-0.0121680186687412
"225","Hees, Karin",1,1,-0.0121680186687412
"226","Hehl, Walter",1,1,-0.0121680186687412
"227","Heimes, Silke",1,1,-0.0121680186687412
"228","Hein, Günter",1,1,-0.0121680186687412
"229","Hein, Manfred Peter",4,4,2.19668852094678
"230","Heinrich, Finn-Ole",1,1,-0.0121680186687412
"231","Heinrich, Richard W.",1,1,-0.0121680186687412
"232","Heinze de Lorenzo, Ursula",3,3,1.4604030077416
"233","Hela, Ortrun Brunhild",1,1,-0.0121680186687412
"234","Helsing, Jan van",1,1,-0.0121680186687412
"235","Hemau, Gisela",1,1,-0.0121680186687412
"236","Hemingway, Ernest",1,1,-0.0121680186687412
"237","Herbert, Heinz",1,1,-0.0121680186687412
"238","Hermann, Kai",1,1,-0.0121680186687412
"239","Hersch-Tausky, Daniela",1,1,-0.0121680186687412
"240","Herzog, Marianne",1,2,-0.275882505463569
"241","Herzog, Rudolf",1,1,-0.0121680186687412
"242","Herzog, Werner",1,1,-0.0121680186687412
"243","Hessing, Jakob",1,1,-0.0121680186687412
"244","Hielscher, Juliane",1,1,-0.0121680186687412
"245","Hildebrandt, Irma",1,1,-0.0121680186687412
"246","Hille, Ulrike Marie",1,1,-0.0121680186687412
"247","Hock, Kurt",1,1,-0.0121680186687412
"248","Hoerschelmann, Fred von",1,1,-0.0121680186687412
"249","Hoffman, Jilliane",1,1,-0.0121680186687412
"250","Hoffmann, Anna",1,1,-0.0121680186687412
"251","Hoffmann, Johanna",1,1,-0.0121680186687412
"252","Hoffmann, Reinhold",1,1,-0.0121680186687412
"253","Höfler, Polly Maria",1,1,-0.0121680186687412
"254","Holesch, Ditha",1,1,-0.0121680186687412
"255","Hollitzer, Herbert",1,1,-0.0121680186687412
"256","Holstein, Jupp",1,1,-0.0121680186687412
"257","Holtei, Karl von",2,2,0.724117494536431
"258","Horowitz, Anthony",1,1,-0.0121680186687412
"259","Huber, Klaus",1,1,-0.0121680186687412
