"","author","place_count","title_count","residuals"
"122","Bauer, Ulrike",1,1,-0.315852602371783
"123","Bauer, Wolfgang",3,3,1.12651136654227
"124","Bauerdick, Rolf",3,5,0.56887533545632
"125","Bauersima, Igor",2,3,0.126511366542268
"126","Bauknecht, Werner",1,1,-0.315852602371783
"127","Baum, Oskar",1,1,-0.315852602371783
"128","Baumann, Iren",1,1,-0.315852602371783
"129","Baumann, Peter",1,1,-0.315852602371783
"130","Baumgarten, Jürgen",2,5,-0.43112466454368
"131","Baumm, Stefanie",1,1,-0.315852602371783
"132","Bayer, Ingeborg",1,1,-0.315852602371783
"133","Bayer, Konrad",3,5,0.56887533545632
"134","Bayraktar, Mesut",1,1,-0.315852602371783
"135","Bazlen, Roberto",1,1,-0.315852602371783
"136","Bazyar, Shida",3,3,1.12651136654227
"137","Beaulieu, Jonathan",1,1,-0.315852602371783
"138","Béchar, Christine",1,1,-0.315852602371783
"139","Becher, Ulrich",1,1,-0.315852602371783
"140","Bechstein, Ludwig",3,4,0.847693350999294
"141","Beck, Eleonore",1,1,-0.315852602371783
"142","Beck, Peter",1,1,-0.315852602371783
"143","Beck, Zoë",4,4,1.84769335099929
"144","Becker, Artur",1,2,-0.594670617914757
"145","Becker, Frank S.",1,2,-0.594670617914757
"146","Becker, Lars",2,2,0.405329382085243
"147","Becker, Thorsten",1,1,-0.315852602371783
"148","Beckmann, Mani",2,2,0.405329382085243
"149","Bedir-Xan, Kâmuran",1,1,-0.315852602371783
"150","Bednarz, Dieter",1,1,-0.315852602371783
"151","Beele, Louisa",1,1,-0.315852602371783
"152","Beer, Alex",4,5,1.56887533545632
"153","Beer, Johann",1,1,-0.315852602371783
"154","Beerwald, Sina",1,1,-0.315852602371783
"155","Begert, Roland",1,1,-0.315852602371783
"156","Beholz, Robert",1,2,-0.594670617914757
"157","Behr, Hans-Georg",2,2,0.405329382085243
"158","Behrendt, Leni",1,5,-1.43112466454368
"159","Bekker, Alfred",2,14,-2.94048680443045
"160","Belago, Linda",3,3,1.12651136654227
"161","Belin, Sara",1,1,-0.315852602371783
"162","Bemmann, Hans",2,2,0.405329382085243
"163","Bender, Marylka",1,1,-0.315852602371783
"164","Benesch, Kurt",1,1,-0.315852602371783
"165","Benkau, Jennifer",1,1,-0.315852602371783
"166","Benning, Sophie",1,1,-0.315852602371783
"167","Benno, Johann Ernst",1,1,-0.315852602371783
"168","Bérard, Sophie",2,5,-0.43112466454368
"169","Berberich, Eva",1,1,-0.315852602371783
"170","Berenz, Björn",1,1,-0.315852602371783
"171","Bereuter, Elmar",1,1,-0.315852602371783
"172","Berg, Alex",3,6,0.290057319913346
"173","Berg, Eric",2,4,-0.152306649000706
"174","Berg, Peter",1,1,-0.315852602371783
"175","Bergen, Jakov",1,1,-0.315852602371783
"176","Berger, Axel",2,4,-0.152306649000706
"177","Berger, Frederik",1,1,-0.315852602371783
"178","Berger, Herbert",3,3,1.12651136654227
"179","Berger, Lore",1,1,-0.315852602371783
"180","Bergmann, Claire",1,1,-0.315852602371783
"181","Berkel, Christian",4,5,1.56887533545632
"182","Berkeley, Ben",1,1,-0.315852602371783
"183","Berlin, Katja",1,1,-0.315852602371783
"184","Bernard, Caroline",4,5,1.56887533545632
"185","Berndorf, Jacques",1,1,-0.315852602371783
"186","Berner, Rotraut Susanne",2,2,0.405329382085243
"187","Bernig, Jörg",2,2,0.405329382085243
"188","Berst-Frediani, Sascha",1,2,-0.594670617914757
"189","Berthold, Will",3,4,0.847693350999294
"190","Bertola de' Giorgi, Aurelio",1,1,-0.315852602371783
"191","Bessing, Joachim",1,1,-0.315852602371783
"192","Beto, Isabel",1,1,-0.315852602371783
"193","Bettauer, Hugo",2,2,0.405329382085243
"194","Bettinger, Martin",1,1,-0.315852602371783
"195","Beyeler, Hermann Alexander",1,1,-0.315852602371783
"196","Beyer, Claire",1,1,-0.315852602371783
"197","Beyer, Sigrid",1,1,-0.315852602371783
"198","Beyerlein, Gabriele",1,1,-0.315852602371783
"199","Beyse, Jochen",1,1,-0.315852602371783
"200","Bichsel, Therese",1,1,-0.315852602371783
"201","Bielen, Valerie",1,1,-0.315852602371783
"202","Bieler, Manfred",2,2,0.405329382085243
"203","Bienek, Gustav Karl",1,1,-0.315852602371783
"204","Bierbaum, Otto Julius",2,2,0.405329382085243
"205","Biermann, Pieke",3,6,0.290057319913346
"206","Biernath, Horst",1,1,-0.315852602371783
"207","Bilse, Fritz Oswald",1,1,-0.315852602371783
"208","Binder, Luisa",1,1,-0.315852602371783
"209","Binder, Wolfgang",1,1,-0.315852602371783
"210","Birkefeld, Richard",3,4,0.847693350999294
"211","Birkner, Friede",3,74,-18.6695677370089
"212","Bittner, Wolfgang",1,4,-1.15230664900071
"213","Bjerg, Bov",2,2,0.405329382085243
"214","Blaise, Henri",1,1,-0.315852602371783
"215","Blank-Eismann, Marie",1,1,-0.315852602371783
"216","Blankertz, Stefan",1,1,-0.315852602371783
"217","Blaszczyk, Erika",1,1,-0.315852602371783
"218","Blatter, Silvio",3,3,1.12651136654227
"219","Bleher, Amanda Flora Hilda",1,1,-0.315852602371783
"220","Blickensdörfer, Hans",1,1,-0.315852602371783
"221","Bloch, Ernst",7,9,3.45360327328442
"222","Blom, Philipp",1,1,-0.315852602371783
"223","Bluhm, Detlef",2,4,-0.152306649000706
"224","Blum, Arne",1,1,-0.315852602371783
"225","Blume, Dorothea",1,1,-0.315852602371783
"226","Böckl, Manfred",1,1,-0.315852602371783
"227","Böckler, Michael",2,5,-0.43112466454368
"228","Boehning, Larissa",1,1,-0.315852602371783
"229","Boeser, Knut",1,1,-0.315852602371783
"230","Bogdan, Isabel",2,2,0.405329382085243
"231","Bogner, Piet",1,1,-0.315852602371783
"232","Böke, Hubert",1,1,-0.315852602371783
"233","Bold, Emily",1,1,-0.315852602371783
"234","Böldl, Klaus",1,1,-0.315852602371783
"235","Böll, Lisa",1,1,-0.315852602371783
"236","Bolliger, Max",1,1,-0.315852602371783
"237","Bollmann, Sören",1,1,-0.315852602371783
"238","Boltshauser, Patrick",1,1,-0.315852602371783
"239","Bonaventura",5,5,2.56887533545632
"240","Bondy, Luc",1,2,-0.594670617914757
"241","Bonhoeffer, Dietrich",2,2,0.405329382085243
"242","Borchardt, Rudolf",1,2,-0.594670617914757
"243","Borger, Martina",2,2,0.405329382085243
"244","Born, Christoph",2,2,0.405329382085243
"245","Borries, Friedrich von",1,1,-0.315852602371783
"246","Borrmann, Mechtild",3,10,-0.82521474225855
"247","Borsch, Frank",4,4,1.84769335099929
"248","Bosetzky, Horst",1,1,-0.315852602371783
"249","Bosmans, Phil",2,2,0.405329382085243
"250","Bossong, Nora",3,3,1.12651136654227
"251","Böttcher, Sven",1,1,-0.315852602371783
"252","Bottini, Oliver",11,23,3.55015105568279
"253","Boulad, Henri",1,1,-0.315852602371783
"254","Bouma, Hans",1,1,-0.315852602371783
"255","Bouvier, Claire",2,5,-0.43112466454368
"256","Boysen, Margret",1,1,-0.315852602371783
"257","Bozikovic, Michel",1,1,-0.315852602371783
"258","Bracharz, Kurt",1,1,-0.315852602371783
"259","Brand, Jule",1,1,-0.315852602371783
"260","Brandes, Silke",1,1,-0.315852602371783
"261","Brandhorst, Andreas",3,4,0.847693350999294
"262","Brandis, Mark",2,4,-0.152306649000706
"263","Brandstetter, Alois",2,2,0.405329382085243
"264","Brandt, Jan",2,2,0.405329382085243
"265","Brandt, Matthias",1,1,-0.315852602371783
"266","Braslavsky, Emma",1,1,-0.315852602371783
"267","Braun, Marcus",2,2,0.405329382085243
"268","Braunburg, Rudolf",1,1,-0.315852602371783
"269","Brechbühl, Beat",3,3,1.12651136654227
"270","Bredel, Willi",1,1,-0.315852602371783
"271","Breinersdorfer, Fred",1,1,-0.315852602371783
"272","Breitbach, Joseph",1,1,-0.315852602371783
"273","Brem, Ilse",2,2,0.405329382085243
"274","Brendel, Alfred",6,8,2.7324212888274
"275","Brendt, Peter",1,1,-0.315852602371783
"276","Brentano, Bernard von",1,1,-0.315852602371783
"277","Brentano, Clemens",5,5,2.56887533545632
"278","Brentano, Franz",1,1,-0.315852602371783
"279","Breuers, Dieter",2,2,0.405329382085243
"280","Breznik, Melitta",4,5,1.56887533545632
"281","Bril-Jäger, Roswitha",1,1,-0.315852602371783
"282","Bringolf, Hans Ormund",1,1,-0.315852602371783
"283","Bringston, Robert",1,1,-0.315852602371783
"284","Brod, Max",3,3,1.12651136654227
"285","Brosi, Patrick",1,1,-0.315852602371783
"286","Brückmann, Kathrin",1,1,-0.315852602371783
"287","Bruckner, Ferdinand",5,6,2.29005731991335
"288","Brudereck, Christina",1,1,-0.315852602371783
"289","Brun, H. S.",1,1,-0.315852602371783
"290","Brunner, Bernd",2,2,0.405329382085243
"291","Brunner, Hans",1,1,-0.315852602371783
"292","Bruns, Marianne",1,1,-0.315852602371783
"293","Brus, Günter",2,2,0.405329382085243
"294","Bruyn, Günter de",4,4,1.84769335099929
"295","Buber-Neumann, Margarete",1,1,-0.315852602371783
"296","Buch, Hans Christoph",2,6,-0.709942680086654
"297","Büchner, Barbara",2,3,0.126511366542268
"298","Buck, Vera",2,3,0.126511366542268
"299","Buhl, Marc",2,2,0.405329382085243
"300","Bühlmann, Andrea",1,2,-0.594670617914757
"301","Buhmann, Horst",1,1,-0.315852602371783
"302","Bulkowski, Hansjürgen",1,1,-0.315852602371783
"303","Bülow, Katharina von",1,1,-0.315852602371783
"304","Bülow, Trixi von",2,2,0.405329382085243
"305","Büren, Erhard von",1,2,-0.594670617914757
"306","Buresch, Luisa",1,1,-0.315852602371783
"307","Burger, Hermann",6,6,3.29005731991335
"308","Burger, Lisbeth",1,1,-0.315852602371783
"309","Burghof, Bettina",1,1,-0.315852602371783
"310","Burk, Michael",1,1,-0.315852602371783
"311","Burkart, Erika",3,3,1.12651136654227
"312","Burmeister, Brigitte",1,1,-0.315852602371783
"313","Burstein, Martin",1,1,-0.315852602371783
"314","Busch, Oskar",1,1,-0.315852602371783
"315","Busch, Petra",1,1,-0.315852602371783
"316","Büscher, Tobias",1,1,-0.315852602371783
"317","Büscher, Wolfgang",1,1,-0.315852602371783
"318","Buslau, Oliver",1,1,-0.315852602371783
"319","Buson",1,1,-0.315852602371783
"320","Bußmann, Nina",1,1,-0.315852602371783
"321","Butschkow, Ralf",1,1,-0.315852602371783
"322","Cactus, Françoise",1,1,-0.315852602371783
"323","Çakır, Seher",1,1,-0.315852602371783
"324","Calonego, Bernadette",2,2,0.405329382085243
"325","Camartin, Iso",1,1,-0.315852602371783
"326","Camenisch, Arno",5,14,0.0595131955695536
"327","Canetti, Veza",12,17,6.22305914894063
"328","Canitz, Friedrich von",1,1,-0.315852602371783
"329","Capitani, Sabrina",1,1,-0.315852602371783
"330","Caprez, Andrea",1,1,-0.315852602371783
"331","Caradec, Odile",1,1,-0.315852602371783
"332","Carels, Maeve",1,1,-0.315852602371783
"333","Carl, Peter",1,1,-0.315852602371783
"334","Carlotto, Massimo",1,1,-0.315852602371783
"335","Carossa, Hans",1,1,-0.315852602371783
"336","Carové, Friedrich Wilhelm",1,1,-0.315852602371783
"337","Carroll, Phyllis",1,1,-0.315852602371783
"338","Carstens, Carola",1,1,-0.315852602371783
"339","Carus, Roman",1,1,-0.315852602371783
"340","Caspary, Kim",1,1,-0.315852602371783
"341","Cavazzini, Christiane",1,7,-1.98876069562963
"342","Cavelius, Alexandra",2,2,0.405329382085243
"343","Cavelty, Gion Mathias",1,2,-0.594670617914757
"344","Cazon, Christine",1,1,-0.315852602371783
"345","Cejpek, Lucas",1,1,-0.315852602371783
"346","Chagall, Marc",1,1,-0.315852602371783
"347","Chaimowicz, Sascha",1,1,-0.315852602371783
"348","Chamier, Peter de",1,1,-0.315852602371783
"349","Chaplet, Anne",2,5,-0.43112466454368
"350","Chargaff, Erwin",1,2,-0.594670617914757
"351","Chatzētzanu-Baltcharnt, Elenē",1,1,-0.315852602371783
"352","Chen, Chao-Hsiu",1,1,-0.315852602371783
"353","Chidgey, Catherine",1,1,-0.315852602371783
"354","Christ, Eva",1,1,-0.315852602371783
"355","Christophersen, Jan",1,1,-0.315852602371783
"356","Chromik, Resi",1,3,-0.873488633457731
"357","Clary-Aldringen, Alfons",1,1,-0.315852602371783
"358","Clément, Frédéric",1,1,-0.315852602371783
"359","Closs, Hannah Priebsch",1,1,-0.315852602371783
"360","Cohen, William S.",1,1,-0.315852602371783
"361","Cohn, Hans W.",1,1,-0.315852602371783
"362","Cohn, Leah",1,1,-0.315852602371783
"363","Coler, Hannah",1,1,-0.315852602371783
"364","Collée, Miriam",1,1,-0.315852602371783
"365","Conrad, Julia",3,5,0.56887533545632
"366","Conrad, Kai-Uwe",1,1,-0.315852602371783
"367","Cookson, Catherine",2,2,0.405329382085243
"368","Corbi, Inez",1,1,-0.315852602371783
"369","Cordonnierová, Marie",1,25,-7.00748497540316
"370","Cormann, Marte",1,1,-0.315852602371783
"371","Cotten, Ann",1,1,-0.315852602371783
"372","Cramer, Doris",1,1,-0.315852602371783
"373","Crauer, Pil",1,1,-0.315852602371783
"374","Cremer, Drutmar",1,1,-0.315852602371783
"375","Cristen, Gabriele Marie",1,1,-0.315852602371783
"376","Cristen, Marie",2,3,0.126511366542268
"377","Cristenová, Marie",1,3,-0.873488633457731
"378","Crow",1,1,-0.315852602371783
"379","Crown, Jonathan",7,7,4.01123930437037
"380","Crüwell, G. A.",1,1,-0.315852602371783
"381","Csokor, Franz Theodor",1,1,-0.315852602371783
"382","Cueni, Claude",1,2,-0.594670617914757
"383","Cullen, July",1,1,-0.315852602371783
"384","Cyran, Eberhard",1,1,-0.315852602371783
"385","Czechowski, Heinz",1,1,-0.315852602371783
"386","Czernin, Franz Josef",1,1,-0.315852602371783
"387","Czernin, Monika",1,1,-0.315852602371783
"388","Dahlke, Paul",2,2,0.405329382085243
"389","Dahlke, Rüdiger",1,1,-0.315852602371783
"390","Dalos, György",3,4,0.847693350999294
"391","Danius, Sara",1,1,-0.315852602371783
"392","Darlton, Clark",2,6,-0.709942680086654
"393","Dath, Dietmar",3,3,1.12651136654227
"394","Daum, Fritz",1,2,-0.594670617914757
"395","Daumann, Rudolf",1,1,-0.315852602371783
"396","Dean, Martin R.",2,2,0.405329382085243
"397","Decker, Kerstin",1,1,-0.315852602371783
"398","Degens, Marc",1,1,-0.315852602371783
"399","Dehe, Astrid",1,1,-0.315852602371783
"400","Dehnerdt, Eleonore",1,1,-0.315852602371783
"401","Deighton, Len",1,1,-0.315852602371783
"402","Deitmer, Sabine",3,5,0.56887533545632
"403","Del Monego, Markus",1,1,-0.315852602371783
"404","Demetz, Hanna",1,1,-0.315852602371783
"405","Demirkan, Renan",4,5,1.56887533545632
"406","Demirtel, Eevie",1,1,-0.315852602371783
"407","Dempf, Peter",10,15,4.78069518002658
"408","Demski, Eva",2,2,0.405329382085243
"409","Demus, Klaus",1,1,-0.315852602371783
"410","Denk, Felix",1,1,-0.315852602371783
"411","Deor, Inga",1,1,-0.315852602371783
"412","Deprez, Olivier",1,1,-0.315852602371783
"413","Deprijck, Lucien",1,1,-0.315852602371783
"414","Der Stricker",2,2,0.405329382085243
"415","Derleth, Ludwig",1,1,-0.315852602371783
"416","Dettwiler, Monika",1,1,-0.315852602371783
"417","Deus, Van",1,4,-1.15230664900071
"418","Di Fulvio, Luca",1,1,-0.315852602371783
"419","DiCarmen, Sonju",1,1,-0.315852602371783
"420","Dick, Philip K.",1,1,-0.315852602371783
"421","Dieckmann, Dorothea",5,5,2.56887533545632
"422","Dieckmann, Guido",4,6,1.29005731991335
"423","Diehl, Sarah",1,1,-0.315852602371783
"424","Dietmann, Ulrike",1,2,-0.594670617914757
"425","Dietrich, William",1,1,-0.315852602371783
"426","Dietz, Friedrich",1,1,-0.315852602371783
"427","Dillner, Timo",1,4,-1.15230664900071
"428","Dinev, Dimitré",3,3,1.12651136654227
"429","Dirks, Liane",1,1,-0.315852602371783
"430","Dische, Irene",4,5,1.56887533545632
"431","Discher, Christian",1,1,-0.315852602371783
"432","Ditfurth, Christian von",3,5,0.56887533545632
"433","Ditfurth, Jutta",1,1,-0.315852602371783
"434","Dittrich, Sabine",1,1,-0.315852602371783
"435","Döbrich, Annette",1,1,-0.315852602371783
"436","Doehn, Uwe Georg",1,5,-1.43112466454368
"437","Dohm, Hedwig",1,1,-0.315852602371783
"438","Doma, Akos",1,1,-0.315852602371783
"439","Dönhoff, Tatjana",3,3,1.12651136654227
"440","Doppagne, Brigitte",1,1,-0.315852602371783
"441","Dor, Milo",5,5,2.56887533545632
"442","Dorfer, Marianne",1,1,-0.315852602371783
"443","Dorian, Ada",1,1,-0.315852602371783
"444","Döring, Dieter",1,1,-0.315852602371783
"445","Dorn, Anne",1,1,-0.315852602371783
"446","Dorn, Thea",4,6,1.29005731991335
"447","Dorn, Wulf",7,23,-0.449848944317213
"448","Dornbrach, ʿAbdullâh H.",1,1,-0.315852602371783
"449","Dotzler, Arsenius",1,1,-0.315852602371783
"450","Doubek, Katja",1,1,-0.315852602371783
"451","Douglas, James",1,1,-0.315852602371783
"452","Drach, Albert",3,3,1.12651136654227
"453","Dreer, Mirjam",1,1,-0.315852602371783
"454","Drews, Arne",1,4,-1.15230664900071
"455","Drews, Christine",6,7,3.01123930437037
"456","Dribbusch, Barbara",1,1,-0.315852602371783
"457","Dröscher, Daniela",1,1,-0.315852602371783
"458","Drössler, Sabine",1,1,-0.315852602371783
"459","Droste, Gabriele",1,1,-0.315852602371783
"460","Dübgen, Hannah",1,1,-0.315852602371783
"461","Dückers, Tanja",5,6,2.29005731991335
"462","Dulleck, Nina",1,1,-0.315852602371783
"463","Dunham, Tony",1,3,-0.873488633457731
"464","Dutton, Annette",1,4,-1.15230664900071
"465","Duvanel, Adelheid",3,3,1.12651136654227
"466","Dyrlich, Benedikt",1,1,-0.315852602371783
"467","Dziewas, Dorothee",1,1,-0.315852602371783
"468","Eberlein, Maren",1,2,-0.594670617914757
"469","Ebertowski, Jürgen",3,6,0.290057319913346
"470","Ebner, Jeannie",1,1,-0.315852602371783
"471","Ebner, Peter",1,1,-0.315852602371783
"472","Eckert, Hella",1,1,-0.315852602371783
"473","Eckert, Horst",2,2,0.405329382085243
"474","Eckhardt, Klaus",2,2,0.405329382085243
"475","Eden, Jasmin",1,1,-0.315852602371783
"476","Edmonds, Frances",2,2,0.405329382085243
"477","Edschmid, Ulrike",3,3,1.12651136654227
"478","Effenberger, Franz Ferdinand",1,1,-0.315852602371783
