"","author","language"
"6623","Pu,Songling","chi"
"6631","Lubitsch,Nika","slo"
"6706","Kirchner,Katrin","ger"
"6738","Hummel,Eleonora","kaz"
"6755","Dischereit,Esther","ger"
"6870","Hoerschelmann,Fredvon","fry"
"6878","RussoKarcher,Nina","ger"
"6914","James,Eloisa","ger"
"7012","Kraus,Rudolf","ger"
"7021","David,Ernst","ger"
"7029","Lee,Edward","ger"
"7039","Wustmann,Gerrit","ger"
"7061","Wenzel,Hans-Eckardt","ger"
"7071","Philp,Günther","nds"
"7142","Brasch,Marion","fin"
"7205","Mintrop,Theodor","ger"
"7354","Pu,Songling","chi"
"7355","Fankhauser,JürgM.","ger"
"7397","Wiedemann,FerdinandJohann","est"
"7424","Stewner,Tanya","geo"
"7539","Wieland,Ursula","ger"
"7550","Droste,Georg","nds"
"7639","Kremnitz,Mite","rum"
"7665","Can,Safiye","ger"
"7712","Balfour,Liz","lit"
"7755","Viehweg,Frank","ger"
"7796","Keyser,Charlotte","lit"
"7896","Erath,Vinzenz","est"
"7897","Häfner,Guido","ger"
"7948","Decar,Michel","ger"
"7952","Philp,Günther","nds"
"7953","Meyer,Deon","ger"
"7974","Kobr,Michael","chi"
"8009","Langenscheidt,Florian","chi"
"8047","Timmermans,Rudolf","est"
"8084","Dettmann,Lutz","est"
"8094","Kirchner,Katrin","ger"
"8146","Gröschner,Annett","chi"
"8149","Sommer,Edith","ger"
"8176","Bagheri-Goldschmied,Nahid","per"
"8212","Conradi,Hermann","ger"
"8214","Keßner,Andreas","ger"
"8221","Doll,Georgia","mul"
"8236","Jisa,Rudolf","nds"
"8258","Uhland,Ludwig","ger"
"8274","Rückert,Friedrich","ger"
"8278","Müllner,Adolph","ger"
"8281","Rückert,Friedrich","ger"
"8357","Holstein,Jupp","nds"
"8362","Ahrens,Renate","kor"
"8366","Uzun,Kamil","ger"
"8392","Hemingway,Ernest","ger"
"8400","Beuß,Barbara","ger"
"8403","Aichmayr,Michael","ger"
"8430","Seidel,Dieter","ger"
"8443","Mühldorfer,Stefan","ara"
"8453","Häfner,Guido","ger"
"8543","Leman,Susanne","ger"
"8605","Hollitzer,Herbert","nds"
"8776","Spiegel,JosefF.","slo"
"8777","Hahn,AnnaKatharina","fin"
"8829","Eilenberger,Wolfram","fin"
"8849","Kröber,Hans-Ludwig","fin"
"8863","Berger,Clemens","chi"
"8911","Schreier,Carsten","nds"
"8945","Feldhaus,Hans-Jürgen","lit"
"8951","Schreier,Carsten","nds"
"8975","Michel,Robert","bos"
"9011","Musharbash,Yassin","fin"
"9013","Funke,Cornelia","glg"
"9071","Lubitsch,Nika","lit"
"9082","Marti,Lorenz","chi"
"9108","Gehm,Franziska","slo"
"9147","Vyoral,Hannes","ger"
"9270","Seifert,Ilja","ger"
"9293","Gröschner,Annett","fin"
"9303","Bauer,Katharina","ger"
"9331","Fletcher,Adam","ger"
"9366","Rechberger,Rainer","ger"
"9388","Sofronieva,Tzveta","ger"
"9396","Hees,Karin","ger"
"9418","Baum,Beate","rum"
"9467","Vegesack,Siegfriedvon","lav"
"9575","Hein,Günter","nds"
"9592","Grotjahn,Friedrich","ger"
"9595","Godberg,Greta","ger"
"9616","Dick,Uwe","ger"
"9634","Häfner,Guido","ger"
"9684","Messmer,Susanne","ger"
"9709","Thieme,August","mul"
"9719","Phillips,SusanElizabeth","ger"
"9721","Kehle,Matthias","ger"
"9736","Schlevogt,PierreChristophe","ger"
"9750","Zemme,Ulrike","nds"
"9762","Bodmershof,Imma","ger"
"9784","Leon,Donna","ger"
"9838","Lasonchyk,R.","ger"
"9844","Schönburg,Alexandervon","rum"
"9878","Brincken,Gertrudvonden","ger"
"9901","Ramnek,Hugo","ger"
"9917","Stemmle,Rolf","nds"
"9918","Meyer-Götz,Heinrich","ger"
"9934","Rösler,JoHanns","per"
"9935","Barkow,Nick","kor"
"10042","Preil,Hans-Joachim","nds"
"10094","Roland,Oliver","rum"
"10097","Luther,Martin","nds"
"10107","Polak,Oliver","lit"
"10125","Sommer,Edith","ger"
"10180","Moster,Stefan","fin"
"10187","Carr,Robyn","ger"
"10340","Schleyer,JohannMartin","epo"
"10358","Petery,Constanze","lav"
"10530","Hemau,Gisela","ger"
"10543","Petersmann,Konstanze","ger"
"10544","Häfner,Guido","ger"
"10575","Günther,Ralf","lit"
"10589","Kanduth,Gerard","ger"
"10661","Stocker,Darja","ger"
"10706","Langenscheidt,Florian","ara"
"10738","Rudolph,Frank","ger"
"10739","Greif,Martin","ger"
"10764","Wustmann,Gerrit","ger"
"10770","Kureishi,Hanif","ger"
"10843","Gary,Romain","ger"
"10844","Wellerdiek,Karl-Heinz","nds"
"10881","Monk,Radjo","ger"
"10883","Martin,Tom","ger"
"10890","Abbott,David","ger"
"10891","Barnes,Keith","ger"
"10892","Mayer,Ralo","ger"
"10930","Liersch,Hendrik","ger"
"10931","Barlach,Ernst","nds"
"10970","Ribeiro,MarcosA.P.","ger"
"10984","Markarēs,Petros","ger"
"10994","Häfner,Guido","ger"
"11002","Berije,Levan","lav"
"11009","Molzer,Kurt","ger"
"11010","Molzer,Kurt","ger"
"11017","Bund,Edgard","ger"
"11053","Oskamp,Katja","fin"
"11178","Reichmann,Vilém","ger"
"11198","Gomringer,Eugen","ger"
"11350","RussoKarcher,Nina","ger"
"11356","Kiefer,Reinhard","ger"
"11367","Sommer,Edith","ger"
"11393","Erpenbeck,Charlotte","ger"
"11398","HeinzedeLorenzo,Ursula","ger"
"11491","Pohl,Hertha","ger"
"11532","Winter,Sophie","kor"
"11755","Eliot,T.S.","ger"
"11815","Gerlof,Kathrin","fin"
"11842","Chwylla,Béa","mul"
"11877","Cramer,Sofie","lit"
"11890","Hübotter,Klaus","ara"
"11893","Hübotter,Klaus","ger"
"11937","Iten,Andreas","est"
"11938","Esenin,SergejA.","mul"
"11941","Simon,Claus","ger"
"11979","Dostojewskij,FjodorM.","ger"
"12026","Heimes,Silke","ger"
"12072","Dostojewskij,FjodorM.","ger"
"12074","Fallon,Jennifer","ger"
"12075","Fallon,Jennifer","ger"
"12080","Schäfer,AlexanderG.","nds"
"12082","Dostojewskij,FjodorM.","ger"
"12085","Pessoa,Fernando","ger"
"12103","Oates,JoyceCarol","ger"
"12108","Abel,Winnie","nds"
"12140","Austen,Jane","ger"
"12155","Pessoa,Fernando","ger"
"12169","Parise,ClaudiaC.","ger"
"12175","Flynn,Gillian","ger"
"12190","Wood,Barbara","ger"
"12205","Reiche,Claudia","ger"
"12245","Bettermann,Stella","ger"
"12278","Berg,Sophie","lit"
"12296","Röckener,Andreas","chi"
"12302","Bischoff,Friedrich","ger"
"12310","Schier,Petra","lit"
"12415","Neuwald,Alfred","chi"
"12536","Schober,Michael","chi"
"12550","Reisdorf,TheodorJ.","ger"
"12562","Praetorius,Johannes","ger"
"12570","Sullivan,MarkT.","ger"
"12606","Häfner,Guido","ger"
"12612","Duhm,Heltrud","ger"
"12614","Girón,Manuel","ger"
"12655","Waldis,Burkhard","lav"
"12681","Pessoa,Fernando","ger"
"12724","Vila-Matas,Enrique","ger"
"12741","Franke,Ruth","ger"
"12742","Koppelkamm,Stefan","ger"
"12770","Däubler,Theodor","ger"
"12796","Briggs,Patricia","ger"
"12808","Kumar,Anant","ger"
"12826","Bourne,Sam","ger"
"12875","French,Tana","ger"
"12876","Hoffmann,Anna","ger"
"12907","James,Peter","ger"
"12928","Dostojewskij,FjodorM.","ger"
"12930","Peter,MariaW.","ger"
"12946","Klaushofer,Roswitha","ger"
"12959","Stein,Johanna","ger"
"12961","Thompson,Carlene","ger"
"13005","Mulisch,Harry","lit"
"13009","Benioff,David","ger"
"13010","Gomringer,Eugen","ger"
"13011","Gomringer,Eugen","ger"
"13071","Hermann,Kai","lit"
"13088","Forster,E.M.","ger"
"13119","Kraus,Ivan","ger"
"13161","Willi,Jean","cat"
"13176","Twining,James","ger"
"13226","Isherwood,Christopher","ger"
"13227","Dostojewskij,FjodorM.","ger"
"13234","Collins,Wilkie","ger"
"13235","Richler,Mordecai","ger"
"13238","Saillo,Ouarda","ger"
"13240","Parise,ClaudiaC.","ger"
"13266","Feehan,Christine","ger"
"13267","Leach,Roger","ger"
"13278","Herbert,Heinz","ger"
"13357","Ahern,Cecelia","ger"
"13359","Odelga,Ingeborg","ger"
"13360","Gonserowski,Annette","ger"
"13379","Lindt,George","chi"
"13387","Edel,Rabea","heb"
"13404","Pabst,Lothar","cat"
"13421","Schnetz,WolfPeter","ger"
"13443","Ramos,Graciliano","ger"
"13446","Ettl,PeterJeremy","ger"
"13470","Kröger,Wolfgang","est"
"13659","Schönthan,Gabyvon","est"
"13686","Tropper,Jonathan","ger"
"13763","Chandler,Raymond","ger"
"13815","Petit,Chris","ger"
"13816","Marcard,Micaelavon","lit"
"13832","Miller,Rebecca","ger"
"13877","Langer,Jiří","est"
"13879","Kluge,Karlheinz","ger"
"13963","Otten,WillemJ.","ger"
"13964","Häfner,Guido","ger"
"13971","Popa,AdrianneHermina","rum"
"13975","Rusch,Sheldon","ger"
"14033","Brown,Andrea","vie"
"14034","Techet,Carl","ger"
"14047","Domašcyna,Róža","ger"
"14070","Rautenberg,Arne","ger"
"14074","Thomas,Helga","ger"
"14082","Hoffman,Jilliane","ger"
"14115","Harvey,Sarah","ger"
"14126","Sutzkever,Abraham","ger"
"14129","O'Connor,Joseph","ger"
"14142","Barkow,Nick","chi"
"14152","Bucay,Jorge","ger"
"14155","Griffiths,Sharon","ger"
"14176","Holtei,Karlvon","ger"
"14201","Völker,Peter","ger"
"14268","Wunn,Carsten","rum"
"14270","AdamsRichards,David","ger"
"14320","Bourne,Sam","ger"
"14354","Conrad,Joseph","ger"
"14378","Schwarz,Annelies","ger"
"14380","Lorenc,Kito","ger"
"14481","French,Tana","ger"
"14488","Swift,Jonathan","ger"
"14490","Hessing,Jakob","heb"
"14555","Stange,Gerda","ger"
"14560","Lepka,GregorM.","ger"
"14598","Welter,Andreas","lit"
"14607","Spoerl,Heinrich","lav"
"14742","Thomas,Helga","ger"
"14764","Roland,Oliver","ger"
"14788","Duncker,Dora","est"
"14895","McDevitt,Jack","ger"
"15053","Brown,Andrea","lav"
"15076","HeinzedeLorenzo,Ursula","ger"
"15110","Scott,Michael","ger"
"15125","MacNeill,Alastair","ger"
"15191","Martell,Rupert","slo"
"15206","Rankin,Ian","ger"
"15207","Ahern,Cecelia","ger"
"15319","Häfner,Johannes","ara"
"15349","Surra,Kerstin","ger"
"15415","Demuth,Volker","ger"
"15432","Ahlborn,SiegfriedHeinz-Jürgen","ger"
"15466","Adam,Gabi","fin"
"15488","Kui,Alexandra","ice"
"15492","Cronenburg,Petravan","lit"
"15499","Kessler,Klaus","ger"
"15540","Wandeler-Deck,Elisabeth","ger"
"15564","Barth,Peter","ger"
"15648","Grüneberger,Ralph","ger"
"15662","Steinriede,Rosemarie","ger"
"15692","Keil,ChristinaE.","ger"
"15818","Cronenburg,Petravan","lit"
"15830","Brown,Andrea","lit"
"15845","Brown,Andrea","lav"
"15899","Cott,GeorgOswald","ger"
"15905","Niederle,HelmuthA.","geo"
"15919","Kohl,Paul","bel"
"15953","Maupassant,Guyde","ger"
"15955","Evers,Horst","kor"
"15986","Seiler,Hellmut","rum"
"16011","Grill,Harald","rum"
"16041","Maiwald,Peter","ger"
"16089","Shakespeare,William","ger"
"16099","Challis,Sarah","ger"
"16245","Kapielski,Thomas","ger"
"16264","Kuntz,Mark","fin"
"16282","Kinzelmann,Dietlind","ger"
"16310","Giono,Jean","chi"
"16313","Häfner,Johannes","ara"
"16314","Häfner,Johannes","ara"
"16320","Rajah,Susi","ger"
"16338","Hielscher,Juliane","fin"
"16364","Ulrich,Andreas","lit"
"16367","Mayer,Lisa","ger"
"16387","Schernikau,MichaelRasmus","ger"
"16411","Cumart,Nevfel","ger"
"16473","Stingl,Günther","geo"
"16476","Kraus,Ivan","ger"
"16517","Ahlborn,SiegfriedHeinz-Jürgen","ger"
"16529","Paluch,Andrea","lit"
"16534","Materni,Undine","ger"
"16551","Kahlert,August","ger"
"16553","Lindemann,Bernd","ger"
"16637","Meyer-Dietrich,Inge","chi"
"16676","Bardéz,Roberto","ger"
"16745","Schenkel,Elmar","ger"
"16749","CainKülbel,Jürgen","ara"
"16773","Taufiq,Suleman","ger"
"16790","Balàka,Bettina","est"
"16799","Birbaek,Michel","lit"
"16809","Schnurre,Wolfdietrich","lit"
"16825","Rücker,PeterE.","ger"
"16912","Tänzer,Gerhard","ger"
"16991","Lenze,Ulla","chi"
"17035","Roth,Eugen","ger"
"17176","Kuessner,Lutz","lav"
"17279","Kolb,Ulrike","ger"
"17281","Chobot,Manfred","ger"
"17307","Tegetthoff,Folke","kor"
"17356","Koskull,Josivon","est"
"17373","Arens,Annegrit","lit"
"17445","Thomas,Helga","ger"
"17505","Barkow,Nick","chi"
"17506","CramervonClausbruch,Adelheid","ukr"
"17517","Huber,Klaus","ger"
"17549","Diehl,Andreas","ger"
"17601","Syha,Ulrike","ger"
"17617","Saurer,Andreas","ger"
"17666","Steinwendtner,Brita","geo"
"17681","Brätter,Peter","ger"
"17685","Haus,Heinz-Uwe","ger"
"17688","Mednyánszky,Alajos","slo"
"17694","Dreichlinger,Vera","rum"
"17704","Acklin,Jürg","ger"
"17709","Ahlborn,SiegfriedHeinz-Jürgen","ger"
"17718","Doyle,ArthurConan","ger"
"17782","Gutschmid,Eugenvon","ger"
"17799","Kruse,Sigrid","ger"
"17859","Kirchner,Katrin","ger"
"17950","Häfner,Johannes","ger"
"18123","Stroheker,Tina","ger"
"18137","Urweider,Raphael","ger"
"18173","Pabst,Lothar","cat"
"18178","Grosberg,Oskar","lav"
"18212","HeinzedeLorenzo,Ursula","glg"
"18228","Simrock,Karl","chi"
"18253","Sattler,Ines-Angelika","rum"
"18254","HeinzedeLorenzo,Ursula","ger"
"18263","Völker,Peter","ger"
"18291","Gradl,Christine","ger"
"18431","Jablonsky,Hilla","rum"
"18460","Bielenstein,Daniel","lav"
"18500","Jussen,Heinz","ger"
"18552","Green,SimonR.","ger"
"18571","Lenze,Ulla","ara"
"18594","Šalāh,ʿAlīaš-","ara"
"18615","Walke,Susan","ger"
"18618","Regensburger,Annemarie","ger"
"18718","Kneissler,Michael","kor"
"18739","Manteuffel,PeterZoegevon","lav"
"18817","Auwad,Fouadel-","ara"
"18840","Burnicki,Ralf","ger"
"18852","Busta,Christine","lit"
"18863","Müller-Walter,Doris","ger"
"18865","Scheffel,JosephVictorvon","est"
"18925","Lindt,Nicolas","rum"
"18926","Bickel,Margot","per"
"18952","Lavee,Ingrid","heb"
"19033","Chobot,Manfred","ukr"
"19190","Mahlow,Verena","lav"
"19193","Pabst,Lothar","cat"
"19212","Schawerda,Elisabeth","ger"
"19220","Haller,Christian","rum"
"19283","Helsing,Janvan","rum"
"19387","Gaiman,Neil","ger"
"19393","Sommerkamp,Sabine","lav"
"19434","Stein,Gerhard","ger"
"19492","Pfeifer,Tadeus","ger"
"19552","Alexis,Willibald","est"
