"","place","match","place_clean.x","place.y","group.y","place_clean.y","distance","Freq","latitude","longitude"
"301","Smolensk",683,"Smolensk","Smalensk",683,"Smalensk",1,1,54.7814057,32.0461261
"302","Sofia",682,"Sofia","Sofija",682,"Sofija",1,20,-15.2538402,48.2562163
"303","Sofia",682,"Sofia","Sofjia",682,"Sofjia",1,20,-15.2538402,48.2562163
"304","Sofija",682,"Sofija","Sofia",682,"Sofia",1,584,42.6978634,23.3221789
"305","Sofjia",682,"Sofjia","Sofia",682,"Sofia",1,1,NA,NA
"306","Sremski Karlovci",633,"Sremski Karlovci","Sremski Karlovici",633,"Sremski Karlovici",1,8,45.2030463,19.9338336
"307","Sremski Karlovici",633,"Sremski Karlovici","Sremski Karlovci",633,"Sremski Karlovci",1,1,45.2030463,19.9338336
"308","T bilisi",732,"T bilisi","T bilissi",732,"T bilissi",1,71,41.707901,44.8029548
"309","T bilisi",732,"T bilisi","Tʹbilisi",732,"T'bilisi",1,71,41.707901,44.8029548
"310","T bilisi",732,"T bilisi","Tbilisi",732,"Tbilisi",1,71,41.707901,44.8029548
"311","T bilissi",732,"T bilissi","T bilisi",732,"T bilisi",1,1,NA,NA
"312","T bilissi",732,"T bilissi","Tbilissi",732,"Tbilissi",1,1,NA,NA
"313","Tʹbilisi",732,"T'bilisi","T bilisi",732,"T bilisi",1,1,41.6934591,44.8014495
"314","Tʹbilisi",732,"T'bilisi","Tbilisi",732,"Tbilisi",1,1,41.6934591,44.8014495
"315","Tai be",738,"Tai be","Tai bei",738,"Tai bei",1,2,50.9393399,5.16851025824197
"316","Tai bei",738,"Tai bei","Tai be",738,"Tai be",1,112,25.0375198,121.5636796
"317","Tai bei",738,"Tai bei","Taibei",738,"Taibei",1,112,25.0375198,121.5636796
"318","Tai bei shi",738,"Tai bei shi","Tai bei Shi",738,"Tai bei Shi",1,1,25.0375198,121.5636796
"319","Tai bei shi",738,"Tai bei shi","Taibei shi",738,"Taibei shi",1,1,25.0375198,121.5636796
"320","Tai bei Shi",738,"Tai bei Shi","Tai bei shi",738,"Tai bei shi",1,7,25.0375198,121.5636796
"321","Tai bei Shi",738,"Tai bei Shi","Taibei Shi",738,"Taibei Shi",1,7,25.0375198,121.5636796
"322","Taibei",738,"Taibei","Tai bei",738,"Tai bei",1,8,25.0375198,121.5636796
"323","Taibei shi",738,"Taibei shi","Tai bei shi",738,"Tai bei shi",1,1,25.0375198,121.5636796
"324","Taibei shi",738,"Taibei shi","Taibei Shi",738,"Taibei Shi",1,1,25.0375198,121.5636796
"325","Taibei Shi",738,"Taibei Shi","Tai bei Shi",738,"Tai bei Shi",1,1,25.0375198,121.5636796
"326","Taibei Shi",738,"Taibei Shi","Taibei shi",738,"Taibei shi",1,1,25.0375198,121.5636796
"327","Taibei Shi",738,"Taibei Shi","Taibei Si",738,"Taibei Si",1,1,25.0375198,121.5636796
"328","Taibei Si",738,"Taibei Si","Taibei Shi",738,"Taibei Shi",1,1,34.490729,107.332195
"329","Tallin",739,"Tallin","Tallinn",739,"Tallinn",1,1,59.4372155,24.7453688
"330","Tallinn",739,"Tallinn","Tallin",739,"Tallin",1,372,59.4372155,24.7453688
"331","Tbilisi",732,"Tbilisi","T bilisi",732,"T bilisi",1,3,41.6934591,44.8014495
"332","Tbilisi",732,"Tbilisi","Tʹbilisi",732,"T'bilisi",1,3,41.6934591,44.8014495
"333","Tbilisi",732,"Tbilisi","Tbilissi",732,"Tbilissi",1,3,41.6934591,44.8014495
"334","Tbilissi",732,"Tbilissi","T bilissi",732,"T bilissi",1,2,41.6934591,44.8014495
"335","Tbilissi",732,"Tbilissi","Tbilisi",732,"Tbilisi",1,2,41.6934591,44.8014495
"336","Teheran",746,"Teheran","Tehran",746,"Tehran",1,2,35.6892523,51.3896004
"337","Tehran",746,"Tehran","Teheran",746,"Teheran",1,1,35.6892523,51.3896004
"338","Tehran",746,"Tehran","Tihran",755,"Tihran",1,1,35.6892523,51.3896004
"339","Thessalonikē",753,"Thessalonike","Thessalonlikē",753,"Thessalonlike",1,13,40.6403167,22.9352716
"340","Thessalonlikē",753,"Thessalonlike","Thessalonikē",753,"Thessalonike",1,1,NA,NA
"341","Thun",754,"Thun","Trun",754,"Trun",1,1,46.7582827,7.628086
"342","Tihran",755,"Tihran","Tehran",746,"Tehran",1,1,NA,NA
"343","Tihran",755,"Tihran","Tihrān",755,"Tihran",1,1,NA,NA
"344","Tihrān",755,"Tihran","Tihran",755,"Tihran",1,130,NA,NA
"345","Tirana",755,"Tirana","Tirane",755,"Tirane",1,5,41.3281482,19.8184435
"346","Tirana",755,"Tirana","Tiranë",755,"Tirane",1,5,41.3281482,19.8184435
"347","Tirana",755,"Tirana","Tirano",755,"Tirano",1,5,41.3281482,19.8184435
"348","Tirane",755,"Tirane","Tirana",755,"Tirana",1,37,41.3281482,19.8184435
"349","Tirane",755,"Tirane","Tiranë",755,"Tirane",1,37,41.3281482,19.8184435
"350","Tirane",755,"Tirane","Tirano",755,"Tirano",1,37,41.3281482,19.8184435
"351","Tiranë",755,"Tirane","Tirana",755,"Tirana",1,48,41.3281482,19.8184435
"352","Tiranë",755,"Tirane","Tirane",755,"Tirane",1,48,41.3281482,19.8184435
"353","Tiranë",755,"Tirane","Tirano",755,"Tirano",1,48,41.3281482,19.8184435
"354","Tirano",755,"Tirano","Tirana",755,"Tirana",1,1,41.3281482,19.8184435
"355","Tirano",755,"Tirano","Tirane",755,"Tirane",1,1,41.3281482,19.8184435
"356","Tirano",755,"Tirano","Tiranë",755,"Tirane",1,1,41.3281482,19.8184435
"357","Tokyōto",757,"Tokyoto","Tōkyōto",757,"Tokyoto",1,1,-33.4382751,-70.6494805
"358","Tōkyōto",757,"Tokyoto","Tokyōto",757,"Tokyoto",1,120,-33.4382751,-70.6494805
"359","Torun",754,"Torun","Toruń",760,"Torun",1,1,53.0145361,18.5965831446516
"360","Torun",754,"Torun","Torún",760,"Torun",1,1,53.0145361,18.5965831446516
"361","Torun",754,"Torun","Trun",754,"Trun",1,1,53.0145361,18.5965831446516
"362","Toruń",760,"Torun","Torun",754,"Torun",1,10,53.0145361,18.5965831446516
"363","Torún",760,"Torun","Torun",754,"Torun",1,1,53.0145361,18.5965831446516
"364","Trento",763,"Trento","Trenton",763,"Trenton",1,18,46.1030443,11.1298403316951
"365","Trenton",763,"Trenton","Trento",763,"Trento",1,1,40.2170575,-74.7429463
"366","Trun",754,"Trun","Irun",282,"Irun",1,1,48.8430632,0.033079
"367","Trun",754,"Trun","Thun",754,"Thun",1,1,48.8430632,0.033079
"368","Trun",754,"Trun","Torun",754,"Torun",1,1,48.8430632,0.033079
"369","Tula",270,"Tula","Pula",605,"Pula",1,1,45.2678347,1.7706797
"370","Turich",767,"Turich","Zurich",631,"Zurich",1,2,41.8647153,1.9698943
"371","Tver",740,"Tver","Tverʹ",740,"Tver'",1,1,56.858675,35.9208284
"372","Tverʹ",740,"Tver'","Tver",740,"Tver",1,3,56.858675,35.9208284
"373","V Bratislave",113,"V Bratislave","V Bratislavě",113,"V Bratislave",1,3,48.1425382,17.1063047032882
"374","V Bratislavě",113,"V Bratislave","V Bratislave",113,"V Bratislave",1,1,48.1425382,17.1063047032882
"375","V Praza",783,"V Praza","V Praze",783,"V Praze",1,1,59.94227,30.2774344
"376","V Praze",783,"V Praze","V Praza",783,"V Praza",1,107,50.1029026,14.3946353
"377","Valencia",571,"Valencia","Palencia",571,"Palencia",1,34,39.4697065,-0.3763353
"378","Valencia",571,"Valencia","València",571,"Valencia",1,34,39.4697065,-0.3763353
"379","València",571,"Valencia","Valencia",571,"Valencia",1,12,39.4697065,-0.3763353
"380","Valladolid",784,"Valladolid","Vallodolid",784,"Vallodolid",1,9,41.6521328,-4.728562
"381","Vallodolid",784,"Vallodolid","Valladolid",784,"Valladolid",1,2,NA,NA
"382","Varazdin",788,"Varazdin","Varaždin",788,"Varazdin",1,1,46.31267315,16.3510190970873
"383","Varaždin",788,"Varazdin","Varazdin",788,"Varazdin",1,2,46.31267315,16.3510190970873
"384","Viby",798,"Viby","Visby",798,"Visby",1,2,28.42074785,79.4467280438574
"385","Vilnius",794,"Vilnius","Vinius",794,"Vinius",1,407,54.6870458,25.2829111
"386","Vinius",794,"Vinius","Vilnius",794,"Vilnius",1,1,51.427224,5.4868138
"387","Visby",798,"Visby","Viby",798,"Viby",1,1,57.6379361,18.297982
"388","Warszawa",812,"Warszawa","Warszwa",812,"Warszwa",1,744,52.2319581,21.0067249
"389","Warszwa",812,"Warszwa","Warszawa",812,"Warszawa",1,1,NA,NA
"390","Weiden",727,"Weiden","Leiden",438,"Leiden",1,1,46.0634632,13.2358377
"391","Weinheim",82,"Weinheim","Weinsheim",82,"Weinsheim",1,2,49.5462349,8.6717458
"392","Weinsheim",82,"Weinsheim","Weinheim",82,"Weinheim",1,1,50.2307505,6.4716189
"393","Wien",819,"Wien","Wies",816,"Wies",1,22,48.2083537,16.3725042
"394","Wien",819,"Wien","Wisen",819,"Wisen",1,22,48.2083537,16.3725042
"395","Wies",816,"Wies","Wien",819,"Wien",1,1,46.7190989,15.2702936
"396","Wisen",819,"Wisen","Wien",819,"Wien",1,1,47.3923239,7.885972
"397","Wolfsberg",822,"Wolfsberg","Wolfsburg",822,"Wolfsburg",1,1,46.8390583,14.8452061
"398","Wolfsburg",822,"Wolfsburg","Wolfsberg",822,"Wolfsberg",1,1,52.4205588,10.7861682
"399","Wroclaw",824,"Wroclaw","Wrocław",824,"Wroclaw",1,4,51.1263106,16.9781963305126
"400","Wrocław",824,"Wroclaw","Wroclaw",824,"Wroclaw",1,156,51.1263106,16.9781963305126
"401","Zabgreb",831,"Zabgreb","Zagreb",831,"Zagreb",1,1,NA,NA
"402","Zagreb",831,"Zagreb","Zabgreb",831,"Zabgreb",1,325,45.84262775,15.9621956008845
"403","Zaprešic",833,"Zapresic","Zaprešić",833,"Zapresic",1,1,45.8572728,15.8050436
"404","Zaprešić",833,"Zapresic","Zaprešic",833,"Zapresic",1,39,45.8572728,15.8050436
"405","Zaprešić",833,"Zapresic","Zapršić",833,"Zaprsic",1,39,45.8572728,15.8050436
"406","Zapršić",833,"Zaprsic","Zaprešić",833,"Zapresic",1,1,NA,NA
"407","Zenica",836,"Zenica","Senica",679,"Senica",1,4,44.199828,17.9093012
"408","Zlin",838,"Zlin","Zlín",838,"Zlin",1,1,49.226766,17.6667415
"409","Zlín",838,"Zlin","Zlin",838,"Zlin",1,37,49.226766,17.6667415
"410","Zurich",631,"Zurich","Turich",767,"Turich",1,10,47.3744489,8.5410422
"411","Zurich",631,"Zurich","Zürich",631,"Zurich",1,10,47.3744489,8.5410422
"412","Zürich",631,"Zurich","Zurich",631,"Zurich",1,76,47.3744489,8.5410422
