"","place","match","place_clean.x","place.y","group.y","place_clean.y","distance","Freq","latitude","longitude"
"99","Charkiv",158,"Charkiv","Char kiv",158,"Char kiv",1,36,49.9923181,36.2310146
"100","Charkiv",158,"Charkiv","Charkov",158,"Charkov",1,36,49.9923181,36.2310146
"101","Charkov",158,"Charkov","Char kov",158,"Char kov",1,2,49.9923181,36.2310146
"102","Charkov",158,"Charkov","Charʹkov",158,"Char'kov",1,2,49.9923181,36.2310146
"103","Charkov",158,"Charkov","Charʹov",158,"Char'ov",1,2,49.9923181,36.2310146
"104","Charkov",158,"Charkov","Charkiv",158,"Charkiv",1,2,49.9923181,36.2310146
"105","Chişinău",165,"Chisinau","Chişinǎu",165,"Chisinau",1,3,47.0245117,28.8322923
"106","Chişinǎu",165,"Chisinau","Chişinău",165,"Chisinau",1,1,47.0245117,28.8322923
"107","Coira",180,"Coira","Cuira",185,"Cuira",1,1,46.854747,9.5264904
"108","Copenhagen",184,"Copenhagen","Kopenhagen",184,"Kopenhagen",1,14,55.6867243,12.5700724
"109","Cuera",185,"Cuera","Cuira",185,"Cuira",1,2,-1.030148,-46.7531429
"110","Cuira",185,"Cuira","Coira",180,"Coira",1,3,46.854747,9.5264904
"111","Cuira",185,"Cuira","Cuera",185,"Cuera",1,3,46.854747,9.5264904
"112","Den Haag",201,"Den Haag","DenHaag",201,"DenHaag",1,6,52.0799838,4.3113461
"113","DenHaag",201,"DenHaag","Den Haag",201,"Den Haag",1,3,NA,NA
"114","Dublin",88,"Dublin","Lublin",88,"Lublin",1,5,53.3497645,-6.2602732
"115","Eislingen",229,"Eislingen","Esslingen",229,"Esslingen",1,1,48.6967865,9.7037748
"116","Essen",217,"Essen","Assen",53,"Assen",1,1,51.4582235,7.0158171
"117","Esslingen",229,"Esslingen","Eislingen",229,"Eislingen",1,1,48.7427584,9.3071685
"118","Evian les Bains",247,"Evian les Bains","Évian les Bains",247,"Evian les Bains",1,3,46.3910965,6.58133104180146
"119","Évian les Bains",247,"Evian les Bains","Evian les Bains",247,"Evian les Bains",1,1,46.3910965,6.58133104180146
"120","Frankfurt  M",266,"Frankfurt  M","Frankfurt a M",266,"Frankfurt a M",1,1,50.1066539,8.6625808
"121","Frankfurt  M",266,"Frankfurt  M","Frankfurt M",266,"Frankfurt M",1,1,50.1066539,8.6625808
"122","Frankfurt a M",266,"Frankfurt a M","Frankfurt  M",266,"Frankfurt  M",1,1,50.1106444,8.6820917
"123","Frankfurt M",266,"Frankfurt M","Frankfurt  M",266,"Frankfurt  M",1,2,50.1066539,8.6625808
"124","Gdansk",278,"Gdansk","Gdanśk",278,"Gdansk",1,1,54.36119285,18.6286088336207
"125","Gdansk",278,"Gdansk","Gdańsk",278,"Gdansk",1,1,54.36119285,18.6286088336207
"126","Gdanśk",278,"Gdansk","Gdansk",278,"Gdansk",1,1,54.36119285,18.6286088336207
"127","Gdańsk",278,"Gdansk","Gdansk",278,"Gdansk",1,41,54.36119285,18.6286088336207
"128","Geneve",280,"Geneve","Genève",280,"Geneve",1,1,46.2017559,6.1466014
"129","Genève",280,"Geneve","Geneve",280,"Geneve",1,34,46.2017559,6.1466014
"130","Genf",280,"Genf","Gent",280,"Gent",1,3,46.2017559,6.1466014
"131","Gent",280,"Gent","Genf",280,"Genf",1,8,51.0538286,3.7250121
"132","Gui lin",303,"Gui lin","Guilin",303,"Guilin",1,2,25.238704,110.1750728
"133","Guilin",303,"Guilin","Gui lin",303,"Gui lin",1,7,25.238704,110.1750728
"134","Ha Nôi",309,"Ha Noi","Ha Nội",309,"Ha Noi",1,1,21.0294498,105.8544441
"135","Ha Nôi",309,"Ha Noi","Hà Nôi",309,"Ha Noi",1,1,21.0294498,105.8544441
"136","Ha Nội",309,"Ha Noi","Ha Nôi",309,"Ha Noi",1,1,21.0294498,105.8544441
"137","Ha Nội",309,"Ha Noi","Hà Nội",309,"Ha Noi",1,1,21.0294498,105.8544441
"138","Hà Nôi",309,"Ha Noi","Ha Nôi",309,"Ha Noi",1,36,21.0294498,105.8544441
"139","Hà Nôi",309,"Ha Noi","Hà Nội",309,"Ha Noi",1,36,21.0294498,105.8544441
"140","Hà Nội",309,"Ha Noi","Ha Nội",309,"Ha Noi",1,12,21.0294498,105.8544441
"141","Hà Nội",309,"Ha Noi","Hà Nôi",309,"Ha Noi",1,12,21.0294498,105.8544441
"142","Hamburg",34,"Hamburg","Homburg",176,"Homburg",1,25,53.550341,10.000654
"143","Hang zhou",313,"Hang zhou","Hangzhou",313,"Hangzhou",1,1,30.2489634,120.2052342
"144","Hangzhou",313,"Hangzhou","Hang zhou",313,"Hang zhou",1,2,30.2489634,120.2052342
"145","Hannover",314,"Hannover","Hanover",314,"Hanover",1,3,52.3744779,9.7385532
"146","Hanover",314,"Hanover","Hannover",314,"Hannover",1,3,52.3744779,9.7385532
"147","Helsinke",324,"Helsinke","Helsinki",324,"Helsinki",1,1,NA,NA
"148","Helsinki",324,"Helsinki","Helsinke",324,"Helsinke",1,222,60.1674881,24.9427473
"149","Hexam",163,"Hexam","Hexham",163,"Hexham",1,1,-31.940197,151.0890547
"150","Hexham",163,"Hexham","Hexam",163,"Hexam",1,1,54.971478,-2.1017927
"151","Hò Chí Minh",331,"Ho Chi Minh","Hô Chí Minh",331,"Ho Chi Minh",1,2,10.7758439,106.7017555
