"","author","count"
"675","Singer, Lea",4
"676","Skwara, Erich Wolfgang",3
"677","Smercek, Boris von",5
"678","Sommer-Bodenburg, Angela",7
"679","Soyfer, Jura",3
"680","Specht, Kerstin",2
"681","Spengler, Tilman",18
"682","Spilling-Nöker, Christa",3
"683","Spillmann, Joseph",6
"684","Spinnen, Burkhard",4
"685","Spitteler, Carl",4
"686","Stadler, Ernst",3
"687","Stalmann, Franziska",5
"688","Stamm, Peter",25
"689","Stanišić, Saša",27
"690","Steiger, Otto",2
"691","Stein, Benjamin",6
"692","Steinberg, Werner",2
"693","Steiner, Rudolf",26
"694","Steinherr, Ludwig",2
"695","Sternheim, Carl",5
"696","Stifter, Adalbert",23
"697","Storm, Theodor",19
"698","Strauß, Botho",23
"699","Strobel, Arno",11
"700","Strobl, Karl Hans",2
"701","Strunk, Heinz",2
"702","Stürzer, Anja",2
"703","Sudermann, Hermann",9
"704","Suhr, Geertje",2
"705","Sulzer, Alain Claude",11
"706","Surminski, Arno",6
"707","Süskind, Patrick",67
"708","Suter, Martin",36
"709","Svatek, Kurt F.",10
"710","Swann, Leonie",4
"711","Tabori, George",12
"712","Tawada, Yōko",9
"713","Taylor, Kathryn",16
"714","Tellkamp, Uwe",12
"715","Thiemeyer, Thomas",9
"716","Thiesler, Sabine",13
"717","Thoma, Ludwig",3
"718","Thomas, Charlotte",2
"719","Thome, Stephan",2
"720","Thürk, Harry",3
"721","Tieck, Ludwig",15
"722","Tielsch, Ilse",4
"723","Timm, Uwe",31
"724","Trakl, Georg",42
"725","Tralow, Johannes",1
"726","Traven, B.",11
"727","Treichel, Hans-Ulrich",25
"728","Trojanow, Ilija",25
"729","Tschinag, Galsan",14
"730","Tucholsky, Kurt",17
"731","Turrini, Peter",19
"732","Unger, Gert F.",3
"733","Vandenberg, Philipp",29
"734","Vanderbeke, Birgit",21
"735","Veloso, Ana",4
"736","Vennemann, Kevin",10
"737","Vermes, Timur",37
"738","Veteranyi, Aglaja",13
"739","Vilar, Esther",6
"740","Vogel, Alois",3
"741","Völler, Eva",4
"742","Voss, Richard",2
"743","Vosseler, Nicole C.",9
"744","Waberer, Keto von",7
"745","Wackenroder, Wilhelm Heinrich",3
"746","Wagner, David",1
"747","Wagner, Jan",10
"748","Wagner, Jan Costin",17
"749","Wagner, Richard",16
"750","Walden, Laura",5
"751","Wallner, Michael",16
"752","Walloth, Wilhelm",1
"753","Walser, Martin",44
"754","Walser, Robert",59
"755","Walz, Eric",6
"756","Wander, Fred",5
"757","Wassermann, Jakob",19
"758","Wawerzinek, Peter",4
"759","Weber, Peter",6
"760","Wedekind, Frank",21
"761","Weidermann, Volker",16
"762","Weiler, Jan",2
"763","Weinland, David Friedrich",2
"764","Weiser, Franz",5
"765","Weiss, Peter",22
"766","Wellershoff, Dieter",7
"767","Wells, Benedict",29
"768","Welsh, Renate",5
"769","Werfel, Franz",43
"770","Werner, Markus",20
"771","Wickert, Erwin",2
"772","Widder, Bernhard",2
"773","Widmer, Urs",30
"774","Wiechert, Ernst",9
"775","Wilhelm, Andreas",7
"776","Wilkomirski, Binjamin",5
"777","Williges, Fabian W.",1
"778","Winkelmann, Andreas",11
"779","Winkler, Josef",18
"780","Winkler, Katharina",6
"781","Winkler, Philipp",8
"782","Winter, Karen",4
"783","Wiplinger, Peter Paul",5
"784","Wissmann, Daniel Douglas",2
"785","Wodin, Natascha",9
"786","Wohl, Louis de",3
"787","Wolf, Christa",51
"788","Wolf, Klaus-Peter",6
"789","Wondratschek, Wolf",5
"790","Wühr, Paul",2
"791","Zabel, Eugen",2
"792","Zaimoglu, Feridun",13
"793","Zeh, Juli",41
"794","Zeindler, Peter",2
"795","Zelik, Raul",2
"796","Ziesche, Maria Calasanz",5
"797","Zimnik, Reiner",6
"798","Zweig, Arnold",10
"799","Zweig, Stefan",78
"800","Zweig, Stefanie",19
